InvoiceID,ClientID,ClientName,Industry,ServiceType,Consultant,HoursWorked,HourlyRate,InvoiceAmount,InvoiceDate,DueDate,PaymentStatus,City,RevenuePerHour,PaymentDelay
200052,5744,Client_519,Healthcare,Advisory,Consultant_6,19,600,11400,2026-03-12T00:00:00Z,2026-04-03T00:00:00Z,Unpaid,Cape Town,600,22
200053,7971,Client_8,Retail,Consulting,Consultant_22,13,350,4550,2026-02-02T00:00:00Z,2026-05-19T00:00:00Z,Unpaid,Johannesburg,350,106
200054,7697,Client_621,Tech,Bookkeeping,Consultant_22,11,450,4950,2026-03-29T00:00:00Z,2026-05-29T00:00:00Z,Paid,Cape Town,450,61
200055,8748,Client_698,Healthcare,Consulting,Consultant_24,9,500,4500,2026-03-12T00:00:00Z,2026-05-06T00:00:00Z,Unpaid,Durban,500,55
200056,5625,Client_655,Tech,Advisory,Consultant_6,16,450,7200,2026-01-05T00:00:00Z,2026-06-15T00:00:00Z,Paid,Durban,450,161
200057,8568,Client_535,Tech,Advisory,Consultant_20,8,500,4000,2026-02-10T00:00:00Z,2026-04-25T00:00:00Z,Paid,Johannesburg,500,74
200058,6373,Client_722,Healthcare,Bookkeeping,Consultant_23,11,350,3850,2026-02-19T00:00:00Z,2026-06-27T00:00:00Z,Paid,Johannesburg,350,128
200059,5741,Client_407,Healthcare,Data Analysis,Consultant_9,7,500,3500,2026-03-26T00:00:00Z,2026-04-10T00:00:00Z,Unpaid,Johannesburg,500,15
200060,5270,Client_26,Healthcare,Bookkeeping,Consultant_27,20,450,9000,2026-02-24T00:00:00Z,2026-05-19T00:00:00Z,Unpaid,Pretoria,450,84
200061,5091,Client_572,Finance,Consulting,Consultant_20,12,500,6000,2026-02-11T00:00:00Z,2026-04-24T00:00:00Z,Paid,Pretoria,500,72
200062,6514,Client_233,Tech,Data Analysis,Consultant_12,5,500,2500,2026-03-05T00:00:00Z,2026-04-17T00:00:00Z,Unpaid,Durban,500,43
200063,6915,Client_677,Healthcare,Bookkeeping,Consultant_4,17,350,5950,2026-02-25T00:00:00Z,2026-05-05T00:00:00Z,Unpaid,Cape Town,350,69
200064,6609,Client_759,Finance,Bookkeeping,Consultant_21,20,600,12000,2026-03-13T00:00:00Z,2026-05-09T00:00:00Z,Paid,Cape Town,600,57
200065,7745,Client_661,Finance,Bookkeeping,Consultant_2,14,500,7000,2026-01-19T00:00:00Z,2026-06-15T00:00:00Z,Paid,Cape Town,500,147
200066,6962,Client_377,Finance,Advisory,Consultant_22,12,500,6000,2026-01-04T00:00:00Z,2026-05-26T00:00:00Z,Unpaid,Cape Town,500,142
200067,5445,Client_342,Retail,Bookkeeping,Consultant_1,12,450,5400,2026-03-08T00:00:00Z,2026-05-03T00:00:00Z,Paid,Pretoria,450,56
200068,8663,Client_465,Tech,Data Analysis,Consultant_28,5,350,1750,2026-01-06T00:00:00Z,2026-04-11T00:00:00Z,Paid,Pretoria,350,95
200069,8741,Client_338,Tech,Data Analysis,Consultant_1,10,500,5000,2026-01-21T00:00:00Z,2026-06-08T00:00:00Z,Unpaid,Pretoria,500,138
200070,5681,Client_752,Tech,Bookkeeping,Consultant_29,8,450,3600,2026-02-01T00:00:00Z,2026-04-24T00:00:00Z,Paid,Johannesburg,450,82
200071,7774,Client_659,Finance,Consulting,Consultant_2,14,350,4900,2026-02-08T00:00:00Z,2026-06-05T00:00:00Z,Paid,Cape Town,350,117
200072,5537,Client_191,Manufacturing,Consulting,Consultant_18,11,500,5500,2026-03-04T00:00:00Z,2026-06-23T00:00:00Z,Paid,Johannesburg,500,111
200073,7629,Client_601,Manufacturing,Bookkeeping,Consultant_9,17,350,5950,2026-02-17T00:00:00Z,2026-06-03T00:00:00Z,Unpaid,Durban,350,106
200074,6553,Client_257,Finance,Bookkeeping,Consultant_29,11,600,6600,2026-02-20T00:00:00Z,2026-06-04T00:00:00Z,Paid,Cape Town,600,104
200075,8417,Client_176,Retail,Advisory,Consultant_23,8,600,4800,2026-02-28T00:00:00Z,2026-04-25T00:00:00Z,Unpaid,Johannesburg,600,56
200076,7119,Client_95,Manufacturing,Bookkeeping,Consultant_8,13,350,4550,2026-02-06T00:00:00Z,2026-04-22T00:00:00Z,Paid,Durban,350,75
200077,7146,Client_778,Healthcare,Consulting,Consultant_3,8,350,2800,2026-02-01T00:00:00Z,2026-04-04T00:00:00Z,Unpaid,Durban,350,62
200078,5170,Client_189,Retail,Consulting,Consultant_23,17,500,8500,2026-02-13T00:00:00Z,2026-06-12T00:00:00Z,Unpaid,Cape Town,500,119
200079,5791,Client_526,Finance,Bookkeeping,Consultant_18,18,500,9000,2026-02-17T00:00:00Z,2026-06-01T00:00:00Z,Unpaid,Johannesburg,500,104
200080,8175,Client_763,Retail,Data Analysis,Consultant_1,14,350,4900,2026-02-13T00:00:00Z,2026-05-07T00:00:00Z,Paid,Johannesburg,350,83
200081,6275,Client_687,Retail,Consulting,Consultant_18,5,500,2500,2026-02-06T00:00:00Z,2026-04-20T00:00:00Z,Paid,Johannesburg,500,73
200082,6888,Client_323,Tech,Consulting,Consultant_4,17,350,5950,2026-01-25T00:00:00Z,2026-05-26T00:00:00Z,Paid,Durban,350,121
200083,5391,Client_777,Retail,Bookkeeping,Consultant_11,20,450,9000,2026-01-23T00:00:00Z,2026-06-21T00:00:00Z,Unpaid,Pretoria,450,149
200084,8142,Client_635,Finance,Data Analysis,Consultant_13,7,350,2450,2026-02-28T00:00:00Z,2026-06-17T00:00:00Z,Unpaid,Durban,350,109
200085,8821,Client_553,Healthcare,Advisory,Consultant_19,6,600,3600,2026-02-28T00:00:00Z,2026-06-04T00:00:00Z,Unpaid,Johannesburg,600,96
200086,7713,Client_535,Retail,Bookkeeping,Consultant_3,7,500,3500,2026-03-22T00:00:00Z,2026-04-10T00:00:00Z,Unpaid,Johannesburg,500,19
200087,7102,Client_597,Finance,Bookkeeping,Consultant_24,18,600,10800,2026-03-19T00:00:00Z,2026-05-10T00:00:00Z,Unpaid,Cape Town,600,52
200088,8290,Client_525,Tech,Bookkeeping,Consultant_16,19,450,8550,2026-01-17T00:00:00Z,2026-04-28T00:00:00Z,Unpaid,Johannesburg,450,101
200089,8625,Client_329,Tech,Bookkeeping,Consultant_9,6,600,3600,2026-03-22T00:00:00Z,2026-06-01T00:00:00Z,Paid,Cape Town,600,71
200090,6424,Client_637,Finance,Consulting,Consultant_9,15,350,5250,2026-03-10T00:00:00Z,2026-04-21T00:00:00Z,Paid,Cape Town,350,42
200091,6472,Client_735,Finance,Advisory,Consultant_20,6,500,3000,2026-02-16T00:00:00Z,2026-06-17T00:00:00Z,Unpaid,Johannesburg,500,121
200092,5818,Client_689,Finance,Bookkeeping,Consultant_20,5,450,2250,2026-03-16T00:00:00Z,2026-04-29T00:00:00Z,Unpaid,Cape Town,450,44
200093,5278,Client_539,Healthcare,Advisory,Consultant_3,20,450,9000,2026-01-28T00:00:00Z,2026-04-20T00:00:00Z,Unpaid,Cape Town,450,82
200094,5569,Client_165,Finance,Bookkeeping,Consultant_25,19,350,6650,2026-01-20T00:00:00Z,2026-06-15T00:00:00Z,Unpaid,Cape Town,350,146
200095,5387,Client_436,Healthcare,Consulting,Consultant_24,6,500,3000,2026-03-16T00:00:00Z,2026-06-11T00:00:00Z,Unpaid,Cape Town,500,87
200096,8609,Client_9,Tech,Data Analysis,Consultant_5,6,450,2700,2026-01-12T00:00:00Z,2026-04-24T00:00:00Z,Unpaid,Durban,450,102
200097,7085,Client_473,Manufacturing,Bookkeeping,Consultant_18,16,600,9600,2026-02-03T00:00:00Z,2026-06-16T00:00:00Z,Unpaid,Pretoria,600,133
200098,8049,Client_443,Manufacturing,Consulting,Consultant_10,13,500,6500,2026-02-27T00:00:00Z,2026-04-17T00:00:00Z,Paid,Durban,500,49
200099,6203,Client_661,Finance,Data Analysis,Consultant_29,17,450,7650,2026-03-12T00:00:00Z,2026-04-05T00:00:00Z,Paid,Cape Town,450,24
200100,5468,Client_368,Finance,Advisory,Consultant_6,20,500,10000,2026-01-22T00:00:00Z,2026-06-10T00:00:00Z,Unpaid,Johannesburg,500,139
200101,6083,Client_523,Tech,Data Analysis,Consultant_15,16,600,9600,2026-01-26T00:00:00Z,2026-06-25T00:00:00Z,Paid,Cape Town,600,150
200102,8402,Client_784,Retail,Consulting,Consultant_20,20,600,12000,2026-03-19T00:00:00Z,2026-04-14T00:00:00Z,Unpaid,Pretoria,600,26
200103,8180,Client_97,Retail,Advisory,Consultant_2,15,350,5250,2026-02-07T00:00:00Z,2026-05-02T00:00:00Z,Paid,Durban,350,84
200104,5198,Client_647,Healthcare,Data Analysis,Consultant_23,10,350,3500,2026-03-02T00:00:00Z,2026-04-06T00:00:00Z,Paid,Cape Town,350,35
200105,7049,Client_238,Retail,Bookkeeping,Consultant_10,15,600,9000,2026-02-07T00:00:00Z,2026-05-20T00:00:00Z,Paid,Cape Town,600,102
200106,7992,Client_186,Healthcare,Data Analysis,Consultant_17,14,600,8400,2026-02-24T00:00:00Z,2026-06-15T00:00:00Z,Paid,Cape Town,600,111
200107,7099,Client_751,Retail,Advisory,Consultant_23,19,450,8550,2026-02-15T00:00:00Z,2026-05-30T00:00:00Z,Paid,Cape Town,450,104
200108,7219,Client_47,Finance,Advisory,Consultant_14,14,500,7000,2026-03-20T00:00:00Z,2026-05-01T00:00:00Z,Unpaid,Cape Town,500,42
200109,6647,Client_714,Manufacturing,Advisory,Consultant_21,12,500,6000,2026-02-07T00:00:00Z,2026-04-21T00:00:00Z,Unpaid,Durban,500,73
200110,7316,Client_110,Retail,Advisory,Consultant_22,7,350,2450,2026-02-01T00:00:00Z,2026-06-02T00:00:00Z,Unpaid,Cape Town,350,121
200111,6028,Client_637,Finance,Bookkeeping,Consultant_4,7,500,3500,2026-03-11T00:00:00Z,2026-06-14T00:00:00Z,Unpaid,Johannesburg,500,95
200112,7898,Client_741,Tech,Advisory,Consultant_30,19,350,6650,2026-03-05T00:00:00Z,2026-05-04T00:00:00Z,Unpaid,Durban,350,60
200113,5861,Client_465,Healthcare,Data Analysis,Consultant_9,14,350,4900,2026-01-29T00:00:00Z,2026-06-02T00:00:00Z,Paid,Cape Town,350,124
200114,6279,Client_91,Retail,Advisory,Consultant_24,19,600,11400,2026-01-30T00:00:00Z,2026-05-14T00:00:00Z,Paid,Cape Town,600,104
200115,8406,Client_24,Finance,Bookkeeping,Consultant_5,16,350,5600,2026-02-28T00:00:00Z,2026-05-13T00:00:00Z,Unpaid,Durban,350,74
200116,6705,Client_189,Healthcare,Data Analysis,Consultant_11,14,450,6300,2026-01-03T00:00:00Z,2026-05-25T00:00:00Z,Paid,Pretoria,450,142
200117,6115,Client_193,Manufacturing,Data Analysis,Consultant_24,20,600,12000,2026-02-11T00:00:00Z,2026-06-06T00:00:00Z,Paid,Johannesburg,600,115
200118,8179,Client_365,Healthcare,Bookkeeping,Consultant_5,5,450,2250,2026-03-08T00:00:00Z,2026-06-23T00:00:00Z,Paid,Johannesburg,450,107
200119,8907,Client_184,Finance,Data Analysis,Consultant_22,13,350,4550,2026-02-13T00:00:00Z,2026-05-05T00:00:00Z,Unpaid,Durban,350,81
200120,5111,Client_469,Tech,Advisory,Consultant_22,14,500,7000,2026-02-25T00:00:00Z,2026-05-14T00:00:00Z,Paid,Durban,500,78
200121,6032,Client_355,Tech,Data Analysis,Consultant_22,13,500,6500,2026-03-23T00:00:00Z,2026-05-18T00:00:00Z,Paid,Johannesburg,500,56
200122,8684,Client_633,Manufacturing,Bookkeeping,Consultant_21,11,600,6600,2026-02-28T00:00:00Z,2026-04-02T00:00:00Z,Paid,Durban,600,33
200123,8539,Client_692,Tech,Advisory,Consultant_22,18,600,10800,2026-03-28T00:00:00Z,2026-05-30T00:00:00Z,Paid,Cape Town,600,63
200124,5908,Client_124,Manufacturing,Advisory,Consultant_20,6,450,2700,2026-02-17T00:00:00Z,2026-06-04T00:00:00Z,Unpaid,Johannesburg,450,107
200125,5982,Client_798,Manufacturing,Advisory,Consultant_10,11,500,5500,2026-03-24T00:00:00Z,2026-04-17T00:00:00Z,Unpaid,Cape Town,500,24
200126,8802,Client_13,Finance,Bookkeeping,Consultant_3,7,350,2450,2026-01-26T00:00:00Z,2026-05-07T00:00:00Z,Paid,Pretoria,350,101
200127,5394,Client_463,Tech,Bookkeeping,Consultant_26,16,350,5600,2026-03-01T00:00:00Z,2026-05-08T00:00:00Z,Unpaid,Pretoria,350,68
200128,8142,Client_492,Healthcare,Advisory,Consultant_28,10,350,3500,2026-01-27T00:00:00Z,2026-05-10T00:00:00Z,Unpaid,Cape Town,350,103
200129,8947,Client_399,Finance,Bookkeeping,Consultant_16,19,500,9500,2026-03-30T00:00:00Z,2026-04-20T00:00:00Z,Unpaid,Durban,500,21
200130,8000,Client_375,Healthcare,Advisory,Consultant_11,14,500,7000,2026-02-21T00:00:00Z,2026-05-26T00:00:00Z,Unpaid,Cape Town,500,94
200131,6362,Client_478,Finance,Data Analysis,Consultant_15,18,350,6300,2026-03-14T00:00:00Z,2026-05-23T00:00:00Z,Paid,Johannesburg,350,70
200132,7003,Client_413,Finance,Advisory,Consultant_12,7,450,3150,2026-02-21T00:00:00Z,2026-04-01T00:00:00Z,Unpaid,Johannesburg,450,39
200133,7213,Client_521,Tech,Advisory,Consultant_18,17,450,7650,2026-03-28T00:00:00Z,2026-04-26T00:00:00Z,Paid,Durban,450,29
200134,6758,Client_114,Retail,Consulting,Consultant_2,14,450,6300,2026-01-04T00:00:00Z,2026-04-09T00:00:00Z,Paid,Cape Town,450,95
200135,5801,Client_772,Manufacturing,Bookkeeping,Consultant_15,11,350,3850,2026-03-08T00:00:00Z,2026-05-13T00:00:00Z,Paid,Pretoria,350,66
200136,6531,Client_602,Tech,Bookkeeping,Consultant_29,5,350,1750,2026-03-04T00:00:00Z,2026-06-03T00:00:00Z,Unpaid,Durban,350,91
200137,7937,Client_335,Finance,Bookkeeping,Consultant_25,8,450,3600,2026-03-16T00:00:00Z,2026-05-26T00:00:00Z,Paid,Cape Town,450,71
200138,8873,Client_452,Healthcare,Consulting,Consultant_3,8,450,3600,2026-03-01T00:00:00Z,2026-04-05T00:00:00Z,Paid,Cape Town,450,35
200139,8076,Client_325,Retail,Consulting,Consultant_19,11,600,6600,2026-02-26T00:00:00Z,2026-05-03T00:00:00Z,Unpaid,Cape Town,600,66
200140,5806,Client_391,Manufacturing,Data Analysis,Consultant_14,11,450,4950,2026-02-16T00:00:00Z,2026-06-16T00:00:00Z,Paid,Cape Town,450,120
200141,8338,Client_388,Tech,Consulting,Consultant_2,17,450,7650,2026-01-11T00:00:00Z,2026-05-14T00:00:00Z,Unpaid,Durban,450,123
200142,5284,Client_168,Tech,Consulting,Consultant_2,18,450,8100,2026-03-27T00:00:00Z,2026-05-15T00:00:00Z,Unpaid,Durban,450,49
200143,6870,Client_165,Retail,Consulting,Consultant_22,17,600,10200,2026-02-24T00:00:00Z,2026-06-28T00:00:00Z,Unpaid,Cape Town,600,124
200144,6579,Client_706,Finance,Consulting,Consultant_28,11,450,4950,2026-03-24T00:00:00Z,2026-05-30T00:00:00Z,Unpaid,Cape Town,450,67
200145,8458,Client_496,Retail,Data Analysis,Consultant_28,18,600,10800,2026-02-25T00:00:00Z,2026-06-25T00:00:00Z,Paid,Johannesburg,600,120
200146,5097,Client_746,Healthcare,Data Analysis,Consultant_28,13,450,5850,2026-01-17T00:00:00Z,2026-04-22T00:00:00Z,Unpaid,Johannesburg,450,95
200147,8560,Client_790,Finance,Advisory,Consultant_18,7,600,4200,2026-01-30T00:00:00Z,2026-06-19T00:00:00Z,Unpaid,Pretoria,600,140
200148,6300,Client_212,Manufacturing,Consulting,Consultant_26,16,600,9600,2026-03-31T00:00:00Z,2026-04-07T00:00:00Z,Unpaid,Durban,600,7
200149,8838,Client_307,Manufacturing,Consulting,Consultant_10,18,500,9000,2026-01-27T00:00:00Z,2026-06-16T00:00:00Z,Unpaid,Johannesburg,500,140
200150,5708,Client_269,Tech,Bookkeeping,Consultant_8,17,350,5950,2026-03-12T00:00:00Z,2026-06-13T00:00:00Z,Unpaid,Pretoria,350,93
200151,7976,Client_778,Retail,Consulting,Consultant_25,19,450,8550,2026-01-25T00:00:00Z,2026-04-11T00:00:00Z,Paid,Cape Town,450,76
200152,6271,Client_269,Tech,Bookkeeping,Consultant_27,6,350,2100,2026-02-16T00:00:00Z,2026-04-09T00:00:00Z,Unpaid,Cape Town,350,52
200153,7593,Client_530,Retail,Advisory,Consultant_19,5,450,2250,2026-03-28T00:00:00Z,2026-05-16T00:00:00Z,Paid,Johannesburg,450,49
200154,6841,Client_29,Tech,Data Analysis,Consultant_26,9,350,3150,2026-01-09T00:00:00Z,2026-05-07T00:00:00Z,Paid,Johannesburg,350,118
200155,6088,Client_223,Healthcare,Consulting,Consultant_7,13,600,7800,2026-01-28T00:00:00Z,2026-06-20T00:00:00Z,Unpaid,Durban,600,143
200156,7473,Client_573,Tech,Data Analysis,Consultant_20,19,350,6650,2026-01-03T00:00:00Z,2026-04-11T00:00:00Z,Paid,Cape Town,350,98
200157,5118,Client_760,Tech,Data Analysis,Consultant_13,16,500,8000,2026-01-04T00:00:00Z,2026-04-12T00:00:00Z,Unpaid,Pretoria,500,98
200158,6478,Client_265,Retail,Advisory,Consultant_14,9,600,5400,2026-02-11T00:00:00Z,2026-04-10T00:00:00Z,Paid,Cape Town,600,58
200159,5193,Client_5,Healthcare,Data Analysis,Consultant_9,5,450,2250,2026-01-08T00:00:00Z,2026-04-14T00:00:00Z,Paid,Cape Town,450,96
200160,5693,Client_214,Healthcare,Advisory,Consultant_18,19,600,11400,2026-03-31T00:00:00Z,2026-04-14T00:00:00Z,Paid,Durban,600,14
200161,5939,Client_260,Retail,Advisory,Consultant_11,11,450,4950,2026-02-25T00:00:00Z,2026-06-28T00:00:00Z,Unpaid,Cape Town,450,123
200162,7540,Client_476,Retail,Bookkeeping,Consultant_15,5,500,2500,2026-03-23T00:00:00Z,2026-04-19T00:00:00Z,Paid,Cape Town,500,27
200163,7175,Client_419,Retail,Advisory,Consultant_1,10,600,6000,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z,Paid,Pretoria,600,31
200164,7122,Client_433,Retail,Data Analysis,Consultant_28,6,450,2700,2026-02-09T00:00:00Z,2026-06-15T00:00:00Z,Paid,Pretoria,450,126
200165,5658,Client_472,Tech,Consulting,Consultant_9,11,450,4950,2026-02-03T00:00:00Z,2026-06-06T00:00:00Z,Unpaid,Durban,450,123
200166,5823,Client_754,Tech,Data Analysis,Consultant_14,12,450,5400,2026-01-16T00:00:00Z,2026-04-28T00:00:00Z,Unpaid,Pretoria,450,102
200167,8342,Client_555,Finance,Advisory,Consultant_12,11,500,5500,2026-03-05T00:00:00Z,2026-06-13T00:00:00Z,Paid,Pretoria,500,100
200168,8282,Client_540,Retail,Data Analysis,Consultant_6,18,350,6300,2026-01-20T00:00:00Z,2026-06-27T00:00:00Z,Paid,Cape Town,350,158
200169,7387,Client_2,Retail,Data Analysis,Consultant_26,9,600,5400,2026-03-01T00:00:00Z,2026-05-01T00:00:00Z,Unpaid,Johannesburg,600,61
