TransactionID,Date,Account,Type,Category,Subcategory,Amount,VendorClient,Description,PaymentMethod,Department,City,Month
300052,2026-02-25T00:00:00Z,Card,Expense,Rent,Rent Sub,-3454,Entity_500,Rent Transaction,Cash,Sales,Durban,2026-02
300053,2026-03-28T00:00:00Z,Business,Income,Rent,Rent Sub,6232,Entity_588,Rent Transaction,Eft,Operations,Pretoria,2026-03
300054,2026-03-13T00:00:00Z,Card,Expense,Software,Software Sub,-4415,Entity_334,Software Transaction,Eft,Admin,Durban,2026-03
300055,2026-03-17T00:00:00Z,Business,Expense,Sales,Sales Sub,-11629,Entity_625,Sales Transaction,Card,Admin,Durban,2026-03
300056,2026-03-06T00:00:00Z,Business,Income,Marketing,Marketing Sub,2430,Entity_526,Marketing Transaction,Cash,Admin,Cape Town,2026-03
300057,2026-01-27T00:00:00Z,Business,Expense,Software,Software Sub,-13609,Entity_509,Software Transaction,Eft,Sales,Cape Town,2026-01
300058,2026-01-25T00:00:00Z,Business,Expense,Travel,Travel Sub,-13987,Entity_326,Travel Transaction,Card,Operations,Cape Town,2026-01
300059,2026-02-09T00:00:00Z,Business,Expense,Utilities,Utilities Sub,-15384,Entity_560,Utilities Transaction,Card,Operations,Cape Town,2026-02
300060,2026-02-17T00:00:00Z,Business,Expense,Utilities,Utilities Sub,-19848,Entity_813,Utilities Transaction,Cash,Sales,Durban,2026-02
300061,2026-01-23T00:00:00Z,Card,Expense,Consulting,Consulting Sub,-19479,Entity_79,Consulting Transaction,Card,Operations,Johannesburg,2026-01
300062,2026-02-14T00:00:00Z,Business,Income,Rent,Rent Sub,17100,Entity_732,Rent Transaction,Eft,Operations,Pretoria,2026-02
300063,2026-03-16T00:00:00Z,Business,Expense,Sales,Sales Sub,-5019,Entity_615,Sales Transaction,Card,Sales,Johannesburg,2026-03
300064,2026-01-11T00:00:00Z,Business,Expense,Consulting,Consulting Sub,-17379,Entity_480,Consulting Transaction,Eft,Sales,Johannesburg,2026-01
300065,2026-02-22T00:00:00Z,Card,Expense,Utilities,Utilities Sub,-7003,Entity_61,Utilities Transaction,Eft,Admin,Cape Town,2026-02
300066,2026-03-22T00:00:00Z,Card,Income,Rent,Rent Sub,8572,Entity_586,Rent Transaction,Eft,Sales,Johannesburg,2026-03
300067,2026-02-18T00:00:00Z,Card,Expense,Sales,Sales Sub,-6931,Entity_18,Sales Transaction,Cash,Operations,Johannesburg,2026-02
300068,2026-03-04T00:00:00Z,Business,Expense,Rent,Rent Sub,-8495,Entity_508,Rent Transaction,Card,Admin,Cape Town,2026-03
300069,2026-01-20T00:00:00Z,Business,Expense,Utilities,Utilities Sub,-652,Entity_23,Utilities Transaction,Card,Admin,Durban,2026-01
300070,2026-01-21T00:00:00Z,Card,Income,Utilities,Utilities Sub,3226,Entity_213,Utilities Transaction,Cash,Sales,Cape Town,2026-01
300071,2026-02-11T00:00:00Z,Business,Income,Utilities,Utilities Sub,5181,Entity_792,Utilities Transaction,Card,Sales,Cape Town,2026-02
300072,2026-03-06T00:00:00Z,Business,Income,Travel,Travel Sub,1655,Entity_848,Travel Transaction,Eft,Sales,Cape Town,2026-03
300073,2026-01-28T00:00:00Z,Business,Income,Consulting,Consulting Sub,6442,Entity_873,Consulting Transaction,Eft,Operations,Pretoria,2026-01
300074,2026-01-27T00:00:00Z,Business,Income,Software,Software Sub,19508,Entity_81,Software Transaction,Card,Sales,Cape Town,2026-01
300075,2026-02-05T00:00:00Z,Business,Expense,Utilities,Utilities Sub,-3512,Entity_21,Utilities Transaction,Eft,Sales,Pretoria,2026-02
300076,2026-01-15T00:00:00Z,Card,Income,Software,Software Sub,10341,Entity_677,Software Transaction,Eft,Admin,Durban,2026-01
300077,2026-03-27T00:00:00Z,Card,Income,Rent,Rent Sub,17242,Entity_497,Rent Transaction,Eft,Operations,Cape Town,2026-03
300078,2026-01-01T00:00:00Z,Card,Expense,Consulting,Consulting Sub,-19837,Entity_850,Consulting Transaction,Cash,Operations,Cape Town,2026-01
300079,2026-03-01T00:00:00Z,Card,Expense,Consulting,Consulting Sub,-14937,Entity_73,Consulting Transaction,Card,Admin,Durban,2026-03
300080,2026-01-25T00:00:00Z,Card,Expense,Travel,Travel Sub,-5975,Entity_134,Travel Transaction,Eft,Operations,Cape Town,2026-01
300081,2026-01-22T00:00:00Z,Card,Expense,Rent,Rent Sub,-2707,Entity_388,Rent Transaction,Eft,Sales,Johannesburg,2026-01
300082,2026-02-15T00:00:00Z,Card,Expense,Travel,Travel Sub,-13405,Entity_156,Travel Transaction,Eft,Operations,Cape Town,2026-02
300083,2026-02-11T00:00:00Z,Business,Expense,Utilities,Utilities Sub,-10399,Entity_603,Utilities Transaction,Card,Admin,Cape Town,2026-02
300084,2026-02-09T00:00:00Z,Business,Expense,Software,Software Sub,-5314,Entity_265,Software Transaction,Eft,Admin,Cape Town,2026-02
300085,2026-01-03T00:00:00Z,Card,Income,Sales,Sales Sub,2596,Entity_407,Sales Transaction,Card,Admin,Cape Town,2026-01
300086,2026-03-17T00:00:00Z,Business,Income,Utilities,Utilities Sub,3657,Entity_865,Utilities Transaction,Card,Operations,Cape Town,2026-03
300087,2026-01-14T00:00:00Z,Card,Income,Software,Software Sub,9366,Entity_386,Software Transaction,Eft,Operations,Cape Town,2026-01
300088,2026-01-05T00:00:00Z,Business,Expense,Consulting,Consulting Sub,-10049,Entity_675,Consulting Transaction,Eft,Admin,Cape Town,2026-01
300089,2026-03-05T00:00:00Z,Card,Expense,Marketing,Marketing Sub,-12615,Entity_63,Marketing Transaction,Eft,Admin,Cape Town,2026-03
300090,2026-01-17T00:00:00Z,Card,Income,Travel,Travel Sub,6420,Entity_333,Travel Transaction,Eft,Admin,Cape Town,2026-01
300091,2026-02-12T00:00:00Z,Business,Expense,Rent,Rent Sub,-7133,Entity_170,Rent Transaction,Cash,Admin,Johannesburg,2026-02
300092,2026-03-17T00:00:00Z,Card,Expense,Travel,Travel Sub,-7418,Entity_55,Travel Transaction,Eft,Admin,Durban,2026-03
300093,2026-01-03T00:00:00Z,Business,Expense,Consulting,Consulting Sub,-19113,Entity_311,Consulting Transaction,Cash,Sales,Cape Town,2026-01
300094,2026-03-03T00:00:00Z,Business,Income,Rent,Rent Sub,9280,Entity_513,Rent Transaction,Eft,Operations,Pretoria,2026-03
300095,2026-01-28T00:00:00Z,Business,Income,Travel,Travel Sub,1176,Entity_244,Travel Transaction,Card,Operations,Johannesburg,2026-01
300096,2026-03-14T00:00:00Z,Card,Expense,Utilities,Utilities Sub,-11169,Entity_772,Utilities Transaction,Eft,Admin,Johannesburg,2026-03
300097,2026-01-09T00:00:00Z,Card,Expense,Travel,Travel Sub,-15811,Entity_377,Travel Transaction,Cash,Sales,Johannesburg,2026-01
300098,2026-01-14T00:00:00Z,Business,Expense,Consulting,Consulting Sub,-8771,Entity_233,Consulting Transaction,Cash,Admin,Johannesburg,2026-01
300099,2026-01-15T00:00:00Z,Card,Income,Utilities,Utilities Sub,2833,Entity_940,Utilities Transaction,Eft,Admin,Cape Town,2026-01
300100,2026-03-24T00:00:00Z,Business,Expense,Marketing,Marketing Sub,-498,Entity_887,Marketing Transaction,Cash,Sales,Pretoria,2026-03
300101,2026-02-18T00:00:00Z,Card,Income,Marketing,Marketing Sub,3717,Entity_647,Marketing Transaction,Card,Sales,Cape Town,2026-02
300102,2026-03-05T00:00:00Z,Business,Income,Sales,Sales Sub,9319,Entity_555,Sales Transaction,Card,Admin,Johannesburg,2026-03
300103,2026-02-05T00:00:00Z,Business,Income,Sales,Sales Sub,15779,Entity_987,Sales Transaction,Card,Sales,Durban,2026-02
300104,2026-03-27T00:00:00Z,Card,Income,Travel,Travel Sub,5561,Entity_234,Travel Transaction,Card,Admin,Cape Town,2026-03
300105,2026-03-08T00:00:00Z,Card,Expense,Sales,Sales Sub,-4053,Entity_178,Sales Transaction,Eft,Operations,Cape Town,2026-03
300106,2026-02-14T00:00:00Z,Card,Income,Consulting,Consulting Sub,1342,Entity_990,Consulting Transaction,Cash,Sales,Johannesburg,2026-02
300107,2026-01-22T00:00:00Z,Card,Expense,Software,Software Sub,-7112,Entity_121,Software Transaction,Cash,Admin,Cape Town,2026-01
300108,2026-01-26T00:00:00Z,Business,Expense,Rent,Rent Sub,-9949,Entity_248,Rent Transaction,Cash,Admin,Johannesburg,2026-01
300109,2026-03-11T00:00:00Z,Card,Expense,Marketing,Marketing Sub,-2741,Entity_636,Marketing Transaction,Card,Operations,Johannesburg,2026-03
300110,2026-02-11T00:00:00Z,Business,Expense,Consulting,Consulting Sub,-17969,Entity_150,Consulting Transaction,Card,Admin,Durban,2026-02
300111,2026-01-17T00:00:00Z,Card,Expense,Sales,Sales Sub,-3489,Entity_561,Sales Transaction,Card,Admin,Pretoria,2026-01
300112,2026-02-22T00:00:00Z,Business,Income,Software,Software Sub,9226,Entity_652,Software Transaction,Card,Sales,Cape Town,2026-02
300113,2026-03-28T00:00:00Z,Card,Income,Marketing,Marketing Sub,2829,Entity_315,Marketing Transaction,Cash,Admin,Cape Town,2026-03
300114,2026-03-28T00:00:00Z,Business,Expense,Software,Software Sub,-12523,Entity_221,Software Transaction,Card,Admin,Cape Town,2026-03
300115,2026-01-08T00:00:00Z,Business,Income,Software,Software Sub,8686,Entity_353,Software Transaction,Card,Operations,Pretoria,2026-01
300116,2026-01-12T00:00:00Z,Card,Expense,Travel,Travel Sub,-13196,Entity_292,Travel Transaction,Card,Admin,Pretoria,2026-01
300117,2026-03-04T00:00:00Z,Card,Expense,Sales,Sales Sub,-1951,Entity_156,Sales Transaction,Card,Operations,Pretoria,2026-03
300118,2026-01-17T00:00:00Z,Business,Income,Marketing,Marketing Sub,9792,Entity_900,Marketing Transaction,Eft,Operations,Pretoria,2026-01
300119,2026-01-09T00:00:00Z,Card,Income,Travel,Travel Sub,10102,Entity_949,Travel Transaction,Card,Operations,Pretoria,2026-01
300120,2026-03-14T00:00:00Z,Card,Expense,Marketing,Marketing Sub,-19594,Entity_542,Marketing Transaction,Card,Admin,Pretoria,2026-03
300121,2026-03-26T00:00:00Z,Card,Expense,Software,Software Sub,-7170,Entity_41,Software Transaction,Card,Operations,Pretoria,2026-03
300122,2026-01-24T00:00:00Z,Business,Income,Marketing,Marketing Sub,13505,Entity_725,Marketing Transaction,Eft,Sales,Durban,2026-01
300123,2026-02-20T00:00:00Z,Card,Income,Rent,Rent Sub,8927,Entity_389,Rent Transaction,Eft,Admin,Johannesburg,2026-02
300124,2026-02-14T00:00:00Z,Business,Income,Travel,Travel Sub,6255,Entity_713,Travel Transaction,Card,Sales,Durban,2026-02
300125,2026-02-06T00:00:00Z,Business,Income,Sales,Sales Sub,12604,Entity_487,Sales Transaction,Card,Sales,Pretoria,2026-02
300126,2026-03-23T00:00:00Z,Business,Expense,Software,Software Sub,-14315,Entity_813,Software Transaction,Cash,Operations,Cape Town,2026-03
300127,2026-01-02T00:00:00Z,Card,Expense,Rent,Rent Sub,-9063,Entity_255,Rent Transaction,Eft,Admin,Durban,2026-01
300128,2026-01-01T00:00:00Z,Business,Income,Sales,Sales Sub,3030,Entity_716,Sales Transaction,Card,Admin,Cape Town,2026-01
300129,2026-02-15T00:00:00Z,Card,Income,Consulting,Consulting Sub,19831,Entity_185,Consulting Transaction,Card,Sales,Cape Town,2026-02
300130,2026-02-18T00:00:00Z,Business,Income,Travel,Travel Sub,19597,Entity_169,Travel Transaction,Card,Operations,Cape Town,2026-02
300131,2026-01-14T00:00:00Z,Card,Expense,Consulting,Consulting Sub,-14521,Entity_684,Consulting Transaction,Card,Sales,Durban,2026-01
300132,2026-01-10T00:00:00Z,Card,Income,Consulting,Consulting Sub,9940,Entity_994,Consulting Transaction,Card,Operations,Durban,2026-01
300133,2026-01-11T00:00:00Z,Business,Expense,Travel,Travel Sub,-18348,Entity_783,Travel Transaction,Card,Operations,Cape Town,2026-01
300134,2026-03-09T00:00:00Z,Business,Expense,Utilities,Utilities Sub,-16233,Entity_12,Utilities Transaction,Card,Sales,Cape Town,2026-03
300135,2026-01-29T00:00:00Z,Card,Expense,Travel,Travel Sub,-8682,Entity_690,Travel Transaction,Eft,Sales,Durban,2026-01
300136,2026-03-12T00:00:00Z,Business,Income,Marketing,Marketing Sub,6287,Entity_82,Marketing Transaction,Eft,Admin,Durban,2026-03
300137,2026-03-28T00:00:00Z,Card,Income,Sales,Sales Sub,6483,Entity_171,Sales Transaction,Cash,Operations,Cape Town,2026-03
300138,2026-01-09T00:00:00Z,Card,Expense,Consulting,Consulting Sub,-14005,Entity_390,Consulting Transaction,Eft,Sales,Pretoria,2026-01
300139,2026-03-31T00:00:00Z,Card,Expense,Utilities,Utilities Sub,-16494,Entity_964,Utilities Transaction,Card,Operations,Johannesburg,2026-03
300140,2026-01-28T00:00:00Z,Card,Expense,Travel,Travel Sub,-11949,Entity_86,Travel Transaction,Eft,Sales,Cape Town,2026-01
300141,2026-03-03T00:00:00Z,Card,Income,Marketing,Marketing Sub,19038,Entity_904,Marketing Transaction,Eft,Operations,Durban,2026-03
300142,2026-02-21T00:00:00Z,Card,Income,Sales,Sales Sub,18444,Entity_72,Sales Transaction,Card,Operations,Johannesburg,2026-02
300143,2026-03-15T00:00:00Z,Business,Expense,Sales,Sales Sub,-15607,Entity_968,Sales Transaction,Eft,Operations,Durban,2026-03
300144,2026-02-26T00:00:00Z,Card,Income,Software,Software Sub,2282,Entity_48,Software Transaction,Eft,Operations,Cape Town,2026-02
300145,2026-01-28T00:00:00Z,Card,Expense,Rent,Rent Sub,-14143,Entity_505,Rent Transaction,Eft,Operations,Durban,2026-01
300146,2026-03-27T00:00:00Z,Business,Expense,Travel,Travel Sub,-9636,Entity_903,Travel Transaction,Cash,Admin,Cape Town,2026-03
300147,2026-02-07T00:00:00Z,Business,Expense,Utilities,Utilities Sub,-12285,Entity_81,Utilities Transaction,Card,Operations,Cape Town,2026-02
300148,2026-02-14T00:00:00Z,Business,Income,Consulting,Consulting Sub,17906,Entity_107,Consulting Transaction,Card,Operations,Cape Town,2026-02
300149,2026-02-17T00:00:00Z,Business,Income,Utilities,Utilities Sub,10087,Entity_855,Utilities Transaction,Card,Operations,Pretoria,2026-02
300150,2026-02-23T00:00:00Z,Card,Expense,Software,Software Sub,-2233,Entity_596,Software Transaction,Cash,Sales,Cape Town,2026-02
300151,2026-03-19T00:00:00Z,Business,Income,Sales,Sales Sub,10547,Entity_842,Sales Transaction,Cash,Admin,Johannesburg,2026-03
300152,2026-02-16T00:00:00Z,Business,Income,Consulting,Consulting Sub,13873,Entity_160,Consulting Transaction,Cash,Sales,Cape Town,2026-02
300153,2026-01-19T00:00:00Z,Business,Income,Travel,Travel Sub,16745,Entity_561,Travel Transaction,Eft,Admin,Pretoria,2026-01
300154,2026-03-29T00:00:00Z,Card,Expense,Travel,Travel Sub,-18182,Entity_282,Travel Transaction,Card,Sales,Cape Town,2026-03
300155,2026-01-30T00:00:00Z,Card,Expense,Travel,Travel Sub,-12391,Entity_9,Travel Transaction,Eft,Sales,Johannesburg,2026-01
300156,2026-01-02T00:00:00Z,Business,Income,Consulting,Consulting Sub,12873,Entity_350,Consulting Transaction,Eft,Operations,Cape Town,2026-01
300157,2026-02-16T00:00:00Z,Business,Expense,Sales,Sales Sub,-14233,Entity_584,Sales Transaction,Eft,Sales,Cape Town,2026-02
300158,2026-03-05T00:00:00Z,Card,Income,Travel,Travel Sub,1857,Entity_963,Travel Transaction,Eft,Admin,Pretoria,2026-03
300159,2026-03-30T00:00:00Z,Card,Income,Travel,Travel Sub,13628,Entity_109,Travel Transaction,Eft,Operations,Cape Town,2026-03
300160,2026-01-07T00:00:00Z,Card,Expense,Travel,Travel Sub,-6803,Entity_693,Travel Transaction,Cash,Admin,Johannesburg,2026-01
300161,2026-03-18T00:00:00Z,Card,Income,Rent,Rent Sub,354,Entity_612,Rent Transaction,Eft,Operations,Cape Town,2026-03
300162,2026-03-27T00:00:00Z,Business,Income,Software,Software Sub,9463,Entity_749,Software Transaction,Card,Operations,Cape Town,2026-03
300163,2026-03-15T00:00:00Z,Card,Expense,Utilities,Utilities Sub,-9833,Entity_486,Utilities Transaction,Card,Sales,Durban,2026-03
300164,2026-03-21T00:00:00Z,Business,Expense,Sales,Sales Sub,-1302,Entity_307,Sales Transaction,Card,Sales,Johannesburg,2026-03
300165,2026-01-16T00:00:00Z,Business,Expense,Sales,Sales Sub,-4749,Entity_409,Sales Transaction,Cash,Admin,Johannesburg,2026-01
300166,2026-03-08T00:00:00Z,Business,Expense,Software,Software Sub,-3026,Entity_787,Software Transaction,Card,Admin,Johannesburg,2026-03
300167,2026-02-23T00:00:00Z,Card,Income,Sales,Sales Sub,5401,Entity_824,Sales Transaction,Card,Operations,Johannesburg,2026-02
300168,2026-03-17T00:00:00Z,Card,Expense,Consulting,Consulting Sub,-6321,Entity_114,Consulting Transaction,Eft,Admin,Cape Town,2026-03
300169,2026-01-31T00:00:00Z,Business,Income,Travel,Travel Sub,926,Entity_54,Travel Transaction,Card,Admin,Johannesburg,2026-01
300170,2026-03-18T00:00:00Z,Business,Expense,Software,Software Sub,-6406,Entity_260,Software Transaction,Cash,Sales,Cape Town,2026-03
300171,2026-01-09T00:00:00Z,Business,Expense,Consulting,Consulting Sub,-13082,Entity_603,Consulting Transaction,Card,Admin,Cape Town,2026-01
300172,2026-03-23T00:00:00Z,Card,Expense,Rent,Rent Sub,-13020,Entity_425,Rent Transaction,Eft,Admin,Durban,2026-03
300173,2026-03-07T00:00:00Z,Business,Expense,Consulting,Consulting Sub,-16025,Entity_463,Consulting Transaction,Cash,Operations,Cape Town,2026-03
300174,2026-02-03T00:00:00Z,Business,Expense,Rent,Rent Sub,-3352,Entity_978,Rent Transaction,Cash,Operations,Cape Town,2026-02
300175,2026-01-26T00:00:00Z,Card,Expense,Rent,Rent Sub,-13925,Entity_876,Rent Transaction,Eft,Operations,Cape Town,2026-01
300176,2026-02-02T00:00:00Z,Card,Income,Sales,Sales Sub,8760,Entity_295,Sales Transaction,Cash,Operations,Johannesburg,2026-02
300177,2026-01-06T00:00:00Z,Card,Income,Utilities,Utilities Sub,9242,Entity_541,Utilities Transaction,Card,Sales,Johannesburg,2026-01
300178,2026-01-11T00:00:00Z,Card,Expense,Rent,Rent Sub,-14342,Entity_789,Rent Transaction,Card,Admin,Johannesburg,2026-01
300179,2026-02-28T00:00:00Z,Card,Expense,Marketing,Marketing Sub,-17815,Entity_435,Marketing Transaction,Card,Sales,Cape Town,2026-02
300180,2026-02-11T00:00:00Z,Business,Expense,Utilities,Utilities Sub,-4493,Entity_985,Utilities Transaction,Eft,Operations,Johannesburg,2026-02
300181,2026-02-07T00:00:00Z,Card,Income,Utilities,Utilities Sub,1170,Entity_360,Utilities Transaction,Eft,Operations,Johannesburg,2026-02
300182,2026-02-16T00:00:00Z,Business,Expense,Travel,Travel Sub,-16697,Entity_655,Travel Transaction,Eft,Admin,Cape Town,2026-02
300183,2026-03-08T00:00:00Z,Business,Expense,Software,Software Sub,-8172,Entity_58,Software Transaction,Card,Admin,Cape Town,2026-03
300184,2026-03-09T00:00:00Z,Business,Income,Travel,Travel Sub,11866,Entity_437,Travel Transaction,Eft,Admin,Cape Town,2026-03
300185,2026-03-17T00:00:00Z,Card,Income,Travel,Travel Sub,9741,Entity_311,Travel Transaction,Card,Operations,Durban,2026-03
300186,2026-02-11T00:00:00Z,Business,Income,Travel,Travel Sub,6291,Entity_360,Travel Transaction,Card,Operations,Durban,2026-02
300187,2026-02-03T00:00:00Z,Business,Expense,Utilities,Utilities Sub,-5542,Entity_571,Utilities Transaction,Cash,Operations,Johannesburg,2026-02
300188,2026-01-29T00:00:00Z,Card,Expense,Sales,Sales Sub,-13502,Entity_867,Sales Transaction,Eft,Sales,Johannesburg,2026-01
300189,2026-03-18T00:00:00Z,Business,Expense,Marketing,Marketing Sub,-5419,Entity_925,Marketing Transaction,Cash,Sales,Cape Town,2026-03
300190,2026-02-16T00:00:00Z,Card,Income,Sales,Sales Sub,17693,Entity_369,Sales Transaction,Cash,Operations,Cape Town,2026-02
300191,2026-01-10T00:00:00Z,Business,Expense,Consulting,Consulting Sub,-9691,Entity_875,Consulting Transaction,Cash,Operations,Pretoria,2026-01
