TransactionID,Date,Account,Type,Category,Subcategory,Amount,VendorClient,Description,PaymentMethod,Department,City
300053,28 Mar 2026,Business,Income,Rent,Rent Sub,6232,Entity_588,Rent transaction,eft,Operations,Pretoria
300054,2026-03-13,Card,Expense,Software,Software Sub,-4415,Entity_334,Software transaction,eft,Admin,Durban
300055,2026-03-17,Business,Expense,Sales,Sales Sub,-11629,Entity_625,Sales transaction,card,Admin,Durban
300056,06 Mar 2026,Business,Income,Marketing,Marketing Sub,2430,Entity_526,Marketing transaction,Cash,Admin,cape town
300057,27 Jan 2026,Business,Expense,Software,Software Sub,-13609,Entity_509,Software transaction,EFT,Sales,Cape Town
300058,25/01/2026,Business,Expense,Travel,Travel Sub,-13987,Entity_326,Travel transaction,card,Operations,cape town
300059,2026/02/09,Business,Expense,Utilities,Utilities Sub,-15384,Entity_560,Utilities transaction,card,Operations,cape town
300060,17/02/2026,Business,Expense,Utilities,Utilities Sub,-19848,Entity_813,Utilities transaction,Cash,Sales,Durban
300061,2026-01-23,Card,Expense,Consulting,Consulting Sub,-19479,Entity_79,Consulting transaction,card,Operations,Johannesburg
300062,2026-02-14,Business,Income,Rent,Rent Sub,17100,Entity_732,Rent transaction,eft,Operations,Pretoria
300063,2026/03/16,Business,Expense,Sales,Sales Sub,-5019,Entity_615,Sales transaction,card,Sales,Johannesburg
300064,2026/01/11,Business,Expense,Consulting,Consulting Sub,-17379,Entity_480,Consulting transaction,eft,Sales,Johannesburg
300065,2026-02-22,Card,Expense,Utilities,Utilities Sub,"-7,003",Entity_61,Utilities transaction,EFT,Admin,cape town
300066,22/03/2026,Card,Income,Rent,Rent Sub,8572,Entity_586,Rent transaction,eft,Sales,Johannesburg
300067,18/02/2026,Card,Expense,Sales,Sales Sub,-6931,Entity_18,Sales transaction,Cash,Operations,Johannesburg
300068,2026/03/04,Business,Expense,Rent,Rent Sub,-8495,Entity_508,Rent transaction,card,Admin,cape town
300069,20 Jan 2026,Business,Expense,Utilities,Utilities Sub,-652,Entity_23,Utilities transaction,Card,Admin,Durban
300070,21 Jan 2026,Card,Income,Utilities,Utilities Sub,3226,Entity_213,Utilities transaction,Cash,Sales,cape town
300071,11/02/2026,Business,Income,Utilities,Utilities Sub,"5,181",Entity_792,Utilities transaction,card,Sales,cape town
300072,2026/03/06,Business,Income,Travel,Travel Sub,1655,Entity_848,Travel transaction,EFT,Sales,cape town
300073,2026/01/28,Business,Income,Consulting,Consulting Sub,6442,Entity_873,Consulting transaction,EFT,Operations,Pretoria
300074,27/01/2026,Business,Income,Software,Software Sub,"19,508",Entity_81,Software transaction,Card,Sales,Cape Town
300075,2026-02-05,Business,Expense,Utilities,Utilities Sub,-3512,Entity_21,Utilities transaction,EFT,Sales,Pretoria
300076,15 Jan 2026,Card,Income,Software,Software Sub,10341,Entity_677,Software transaction,EFT,Admin,Durban
300077,27 Mar 2026,Card,Income,Rent,Rent Sub,17242,Entity_497,Rent transaction,eft,Operations,Cape Town
300078,01/01/2026,Card,Expense,Consulting,Consulting Sub,-19837,Entity_850,Consulting transaction,Cash,Operations,Cape Town
300079,2026-03-01,Card,Expense,Consulting,Consulting Sub,-14937,Entity_73,Consulting transaction,Card,Admin,Durban
300080,25 Jan 2026,Card,Expense,Travel,Travel Sub,-5975,Entity_134,Travel transaction,EFT,Operations,Cape Town
300081,22/01/2026,Card,Expense,Rent,Rent Sub,-2707,Entity_388,Rent transaction,EFT,Sales,Johannesburg
300082,15/02/2026,Card,Expense,Travel,Travel Sub,-13405,Entity_156,Travel transaction,eft,Operations,Cape Town
300083,11 Feb 2026,Business,Expense,Utilities,Utilities Sub,"-10,399",Entity_603,Utilities transaction,card,Admin,Cape Town
300084,09/02/2026,Business,Expense,Software,Software Sub,-5314,Entity_265,Software transaction,eft,Admin,cape town
300085,03 Jan 2026,Card,Income,Sales,Sales Sub,2596,Entity_407,Sales transaction,card,Admin,cape town
300086,2026/03/17,Business,Income,Utilities,Utilities Sub,3657,Entity_865,Utilities transaction,Card,Operations,cape town
300087,14 Jan 2026,Card,Income,Software,Software Sub,9366,Entity_386,Software transaction,EFT,Operations,Cape Town
300088,05/01/2026,Business,Expense,Consulting,Consulting Sub,-10049,Entity_675,Consulting transaction,eft,Admin,cape town
300089,2026/03/05,Card,Expense,Marketing,Marketing Sub,"-12,615",Entity_63,Marketing transaction,EFT,Admin,Cape Town
300090,2026/01/17,Card,Income,Travel,Travel Sub,6420,Entity_333,Travel transaction,eft,Admin,Cape Town
300091,2026-02-12,Business,Expense,Rent,Rent Sub,-7133,Entity_170,Rent transaction,Cash,Admin,Johannesburg
300092,17 Mar 2026,Card,Expense,Travel,Travel Sub,-7418,Entity_55,Travel transaction,EFT,Admin,Durban
300093,03/01/2026,Business,Expense,Consulting,Consulting Sub,-19113,Entity_311,Consulting transaction,Cash,Sales,Cape Town
300094,03/03/2026,Business,Income,Rent,Rent Sub,"9,280",Entity_513,Rent transaction,EFT,Operations,Pretoria
300095,28 Jan 2026,Business,Income,Travel,Travel Sub,1176,Entity_244,Travel transaction,card,Operations,Johannesburg
300096,2026-03-14,Card,Expense,Utilities,Utilities Sub,-11169,Entity_772,Utilities transaction,EFT,Admin,Johannesburg
300097,09 Jan 2026,Card,Expense,Travel,Travel Sub,-15811,Entity_377,Travel transaction,Cash,Sales,Johannesburg
300098,2026-01-14,Business,Expense,Consulting,Consulting Sub,-8771,Entity_233,Consulting transaction,Cash,Admin,Johannesburg
300099,2026/01/15,Card,Income,Utilities,Utilities Sub,"2,833",Entity_940,Utilities transaction,eft,Admin,Cape Town
300100,2026-03-24,Business,Expense,Marketing,Marketing Sub,-498,Entity_887,Marketing transaction,Cash,Sales,Pretoria
300101,18/02/2026,Card,Income,Marketing,Marketing Sub,3717,Entity_647,Marketing transaction,Card,Sales,cape town
300102,2026/03/05,Business,Income,Sales,Sales Sub,9319,Entity_555,Sales transaction,Card,Admin,Johannesburg
300103,05/02/2026,Business,Income,Sales,Sales Sub,15779,Entity_987,Sales transaction,card,Sales,Durban
300104,27 Mar 2026,Card,Income,Travel,Travel Sub,5561,Entity_234,Travel transaction,card,Admin,Cape Town
300105,08 Mar 2026,Card,Expense,Sales,Sales Sub,-4053,Entity_178,Sales transaction,EFT,Operations,Cape Town
300106,14/02/2026,Card,Income,Consulting,Consulting Sub,1342,Entity_990,Consulting transaction,Cash,Sales,Johannesburg
300107,2026/01/22,Card,Expense,Software,Software Sub,-7112,Entity_121,Software transaction,Cash,Admin,cape town
300108,26 Jan 2026,Business,Expense,Rent,Rent Sub,"-9,949",Entity_248,Rent transaction,Cash,Admin,Johannesburg
300109,2026/03/11,Card,Expense,Marketing,Marketing Sub,-2741,Entity_636,Marketing transaction,card,Operations,Johannesburg
300110,11/02/2026,Business,Expense,Consulting,Consulting Sub,-17969,Entity_150,Consulting transaction,Card,Admin,Durban
300111,2026/01/17,Card,Expense,Sales,Sales Sub,-3489,Entity_561,Sales transaction,card,Admin,Pretoria
300112,22 Feb 2026,Business,Income,Software,Software Sub,9226,Entity_652,Software transaction,Card,Sales,cape town
300113,2026/03/28,Card,Income,Marketing,Marketing Sub,2829,Entity_315,Marketing transaction,Cash,Admin,Cape Town
300114,28/03/2026,Business,Expense,Software,Software Sub,-12523,Entity_221,Software transaction,Card,Admin,cape town
300115,2026-01-08,Business,Income,Software,Software Sub,8686,Entity_353,Software transaction,card,Operations,Pretoria
300116,2026/01/12,Card,Expense,Travel,Travel Sub,-13196,Entity_292,Travel transaction,card,Admin,Pretoria
300117,2026-03-04,Card,Expense,Sales,Sales Sub,-1951,Entity_156,Sales transaction,Card,Operations,Pretoria
300118,2026/01/17,Business,Income,Marketing,Marketing Sub,9792,Entity_900,Marketing transaction,EFT,Operations,Pretoria
300119,09/01/2026,Card,Income,Travel,Travel Sub,"10,102",Entity_949,Travel transaction,Card,Operations,Pretoria
300120,14/03/2026,Card,Expense,Marketing,Marketing Sub,-19594,Entity_542,Marketing transaction,Card,Admin,Pretoria
300121,2026/03/26,Card,Expense,Software,Software Sub,-7170,Entity_41,Software transaction,card,Operations,Pretoria
300122,24 Jan 2026,Business,Income,Marketing,Marketing Sub,"13,505",Entity_725,Marketing transaction,EFT,Sales,Durban
300123,20 Feb 2026,Card,Income,Rent,Rent Sub,8927,Entity_389,Rent transaction,eft,Admin,Johannesburg
300124,2026/02/14,Business,Income,Travel,Travel Sub,6255,Entity_713,Travel transaction,card,Sales,Durban
300125,06/02/2026,Business,Income,Sales,Sales Sub,12604,Entity_487,Sales transaction,Card,Sales,Pretoria
300126,2026/03/23,Business,Expense,Software,Software Sub,-14315,Entity_813,Software transaction,Cash,Operations,cape town
300127,02/01/2026,Card,Expense,Rent,Rent Sub,-9063,Entity_255,Rent transaction,EFT,Admin,Durban
300128,2026/01/01,Business,Income,Sales,Sales Sub,3030,Entity_716,Sales transaction,card,Admin,Cape Town
300129,2026-02-15,Card,Income,Consulting,Consulting Sub,"19,831",Entity_185,Consulting transaction,Card,Sales,cape town
300130,2026-02-18,Business,Income,Travel,Travel Sub,19597,Entity_169,Travel transaction,card,Operations,cape town
300131,14 Jan 2026,Card,Expense,Consulting,Consulting Sub,-14521,Entity_684,Consulting transaction,card,Sales,Durban
300132,10/01/2026,Card,Income,Consulting,Consulting Sub,"9,940",Entity_994,Consulting transaction,card,Operations,Durban
300133,11 Jan 2026,Business,Expense,Travel,Travel Sub,-18348,Entity_783,Travel transaction,card,Operations,cape town
300134,09 Mar 2026,Business,Expense,Utilities,Utilities Sub,-16233,Entity_12,Utilities transaction,Card,Sales,Cape Town
300135,2026-01-29,Card,Expense,Travel,Travel Sub,-8682,Entity_690,Travel transaction,EFT,Sales,Durban
300136,2026-03-12,Business,Income,Marketing,Marketing Sub,6287,Entity_82,Marketing transaction,eft,Admin,Durban
300137,2026/03/28,Card,Income,Sales,Sales Sub,6483,Entity_171,Sales transaction,Cash,Operations,Cape Town
300138,2026/01/09,Card,Expense,Consulting,Consulting Sub,-14005,Entity_390,Consulting transaction,EFT,Sales,Pretoria
300139,31 Mar 2026,Card,Expense,Utilities,Utilities Sub,-16494,Entity_964,Utilities transaction,card,Operations,Johannesburg
300140,2026/01/28,Card,Expense,Travel,Travel Sub,-11949,Entity_86,Travel transaction,EFT,Sales,cape town
300141,2026-03-03,Card,Income,Marketing,Marketing Sub,19038,Entity_904,Marketing transaction,eft,Operations,Durban
300142,21 Feb 2026,Card,Income,Sales,Sales Sub,18444,Entity_72,Sales transaction,card,Operations,Johannesburg
300143,2026-03-15,Business,Expense,Sales,Sales Sub,-15607,Entity_968,Sales transaction,EFT,Operations,Durban
300144,2026/02/26,Card,Income,Software,Software Sub,2282,Entity_48,Software transaction,eft,Operations,cape town
300145,2026/01/28,Card,Expense,Rent,Rent Sub,-14143,Entity_505,Rent transaction,EFT,Operations,Durban
300146,2026/03/27,Business,Expense,Travel,Travel Sub,-9636,Entity_903,Travel transaction,Cash,Admin,cape town
300147,2026/02/07,Business,Expense,Utilities,Utilities Sub,-12285,Entity_81,Utilities transaction,card,Operations,Cape Town
300148,14 Feb 2026,Business,Income,Consulting,Consulting Sub,17906,Entity_107,Consulting transaction,card,Operations,Cape Town
300149,17 Feb 2026,Business,Income,Utilities,Utilities Sub,10087,Entity_855,Utilities transaction,card,Operations,Pretoria
300150,23/02/2026,Card,Expense,Software,Software Sub,-2233,Entity_596,Software transaction,Cash,Sales,cape town
300151,19/03/2026,Business,Income,Sales,Sales Sub,10547,Entity_842,Sales transaction,Cash,Admin,Johannesburg
300152,16/02/2026,Business,Income,Consulting,Consulting Sub,13873,Entity_160,Consulting transaction,Cash,Sales,Cape Town
300153,19/01/2026,Business,Income,Travel,Travel Sub,16745,Entity_561,Travel transaction,eft,Admin,Pretoria
300154,29/03/2026,Card,Expense,Travel,Travel Sub,-18182,Entity_282,Travel transaction,card,Sales,Cape Town
300155,2026-01-30,Card,Expense,Travel,Travel Sub,-12391,Entity_9,Travel transaction,EFT,Sales,Johannesburg
300156,02/01/2026,Business,Income,Consulting,Consulting Sub,12873,Entity_350,Consulting transaction,eft,Operations,Cape Town
300157,16/02/2026,Business,Expense,Sales,Sales Sub,-14233,Entity_584,Sales transaction,eft,Sales,cape town
300158,05 Mar 2026,Card,Income,Travel,Travel Sub,1857,Entity_963,Travel transaction,eft,Admin,Pretoria
300159,2026/03/30,Card,Income,Travel,Travel Sub,13628,Entity_109,Travel transaction,EFT,Operations,cape town
300160,07/01/2026,Card,Expense,Travel,Travel Sub,-6803,Entity_693,Travel transaction,Cash,Admin,Johannesburg
300161,18 Mar 2026,Card,Income,Rent,Rent Sub,354,Entity_612,Rent transaction,EFT,Operations,cape town
300162,2026-03-27,Business,Income,Software,Software Sub,9463,Entity_749,Software transaction,Card,Operations,Cape Town
300163,15/03/2026,Card,Expense,Utilities,Utilities Sub,-9833,Entity_486,Utilities transaction,Card,Sales,Durban
300164,2026/03/21,Business,Expense,Sales,Sales Sub,-1302,Entity_307,Sales transaction,card,Sales,Johannesburg
300165,2026-01-16,Business,Expense,Sales,Sales Sub,-4749,Entity_409,Sales transaction,Cash,Admin,Johannesburg
300166,08 Mar 2026,Business,Expense,Software,Software Sub,-3026,Entity_787,Software transaction,Card,Admin,Johannesburg
300167,23 Feb 2026,Card,Income,Sales,Sales Sub,5401,Entity_824,Sales transaction,Card,Operations,Johannesburg
300168,2026/03/17,Card,Expense,Consulting,Consulting Sub,-6321,Entity_114,Consulting transaction,EFT,Admin,Cape Town
300169,2026/01/31,Business,Income,Travel,Travel Sub,926,Entity_54,Travel transaction,Card,Admin,Johannesburg
300170,18 Mar 2026,Business,Expense,Software,Software Sub,-6406,Entity_260,Software transaction,Cash,Sales,cape town
300171,09 Jan 2026,Business,Expense,Consulting,Consulting Sub,-13082,Entity_603,Consulting transaction,Card,Admin,cape town
300172,23/03/2026,Card,Expense,Rent,Rent Sub,-13020,Entity_425,Rent transaction,eft,Admin,Durban
300173,07 Mar 2026,Business,Expense,Consulting,Consulting Sub,-16025,Entity_463,Consulting transaction,Cash,Operations,cape town
300174,03 Feb 2026,Business,Expense,Rent,Rent Sub,-3352,Entity_978,Rent transaction,Cash,Operations,cape town
300175,2026/01/26,Card,Expense,Rent,Rent Sub,-13925,Entity_876,Rent transaction,eft,Operations,cape town
300176,2026/02/02,Card,Income,Sales,Sales Sub,8760,Entity_295,Sales transaction,Cash,Operations,Johannesburg
300177,06 Jan 2026,Card,Income,Utilities,Utilities Sub,9242,Entity_541,Utilities transaction,Card,Sales,Johannesburg
300178,11 Jan 2026,Card,Expense,Rent,Rent Sub,-14342,Entity_789,Rent transaction,card,Admin,Johannesburg
300179,28/02/2026,Card,Expense,Marketing,Marketing Sub,-17815,Entity_435,Marketing transaction,card,Sales,cape town
300180,11/02/2026,Business,Expense,Utilities,Utilities Sub,-4493,Entity_985,Utilities transaction,EFT,Operations,Johannesburg
300181,07/02/2026,Card,Income,Utilities,Utilities Sub,1170,Entity_360,Utilities transaction,eft,Operations,Johannesburg
300182,2026/02/16,Business,Expense,Travel,Travel Sub,-16697,Entity_655,Travel transaction,EFT,Admin,Cape Town
300183,2026/03/08,Business,Expense,Software,Software Sub,-8172,Entity_58,Software transaction,Card,Admin,cape town
300184,09/03/2026,Business,Income,Travel,Travel Sub,11866,Entity_437,Travel transaction,eft,Admin,Cape Town
300185,17/03/2026,Card,Income,Travel,Travel Sub,9741,Entity_311,Travel transaction,card,Operations,Durban
300186,11/02/2026,Business,Income,Travel,Travel Sub,6291,Entity_360,Travel transaction,Card,Operations,Durban
300187,2026-02-03,Business,Expense,Utilities,Utilities Sub,-5542,Entity_571,Utilities transaction,Cash,Operations,Johannesburg
300188,29 Jan 2026,Card,Expense,Sales,Sales Sub,"-13,502",Entity_867,Sales transaction,EFT,Sales,Johannesburg
300189,2026/03/18,Business,Expense,Marketing,Marketing Sub,-5419,Entity_925,Marketing transaction,Cash,Sales,Cape Town
300190,2026/02/16,Card,Income,Sales,Sales Sub,17693,Entity_369,Sales transaction,Cash,Operations,cape town
300191,2026/01/10,Business,Expense,Consulting,Consulting Sub,"-9,691",Entity_875,Consulting transaction,Cash,Operations,Pretoria
300192,2026/03/07,Business,Income,Travel,Travel Sub,6744,Entity_448,Travel transaction,card,Sales,Johannesburg
300193,26 Mar 2026,Business,Income,Consulting,Consulting Sub,14025,Entity_528,Consulting transaction,Card,Operations,cape town
300194,15 Feb 2026,Business,Income,Marketing,Marketing Sub,17037,Entity_28,Marketing transaction,card,Sales,Pretoria
300195,07 Jan 2026,Business,Expense,Consulting,Consulting Sub,-14198,Entity_673,Consulting transaction,Cash,Operations,Pretoria
300196,2026/02/13,Business,Income,Rent,Rent Sub,6183,Entity_551,Rent transaction,Cash,Sales,Pretoria
300197,13/03/2026,Business,Expense,Sales,Sales Sub,-13129,Entity_792,Sales transaction,card,Sales,Johannesburg
300198,2026-03-07,Card,Income,Marketing,Marketing Sub,6171,Entity_555,Marketing transaction,Card,Admin,Cape Town
300199,2026-01-14,Business,Expense,Consulting,Consulting Sub,-6632,Entity_706,Consulting transaction,EFT,Operations,Pretoria
300200,2026/03/16,Business,Expense,Consulting,Consulting Sub,-15984,Entity_787,Consulting transaction,Cash,Sales,cape town
300201,2026-01-20,Business,Expense,Software,Software Sub,-13308,Entity_475,Software transaction,eft,Sales,Durban
300202,17 Jan 2026,Card,Income,Consulting,Consulting Sub,4677,Entity_441,Consulting transaction,EFT,Operations,Pretoria
300203,01 Feb 2026,Business,Expense,Utilities,Utilities Sub,"-12,322",Entity_933,Utilities transaction,eft,Admin,Johannesburg
300204,03 Mar 2026,Card,Expense,Consulting,Consulting Sub,-8298,Entity_507,Consulting transaction,eft,Sales,Johannesburg
300205,20 Feb 2026,Card,Income,Consulting,Consulting Sub,948,Entity_486,Consulting transaction,Cash,Admin,Durban
300206,2026-03-22,Business,Income,Utilities,Utilities Sub,6271,Entity_130,Utilities transaction,card,Operations,Pretoria
300207,24/03/2026,Card,Income,Consulting,Consulting Sub,14013,Entity_261,Consulting transaction,card,Operations,Johannesburg
300208,2026-02-27,Business,Income,Travel,Travel Sub,19476,Entity_311,Travel transaction,eft,Sales,Cape Town
300209,12 Feb 2026,Business,Expense,Consulting,Consulting Sub,-10048,Entity_713,Consulting transaction,card,Admin,Johannesburg
300210,16/01/2026,Card,Income,Travel,Travel Sub,3037,Entity_744,Travel transaction,Card,Admin,Durban
300211,2026/03/05,Card,Income,Rent,Rent Sub,2034,Entity_540,Rent transaction,card,Admin,Johannesburg
300212,2026/01/29,Business,Income,Consulting,Consulting Sub,15925,Entity_268,Consulting transaction,Card,Operations,Durban
300213,2026/02/22,Business,Income,Software,Software Sub,"2,351",Entity_138,Software transaction,Cash,Admin,cape town
300214,20 Feb 2026,Card,Expense,Software,Software Sub,-9215,Entity_386,Software transaction,card,Admin,Pretoria
300215,2026-01-29,Business,Expense,Software,Software Sub,-3066,Entity_674,Software transaction,EFT,Sales,Johannesburg
300216,2026-01-15,Business,Expense,Utilities,Utilities Sub,-15464,Entity_397,Utilities transaction,Card,Admin,Johannesburg
300217,15/01/2026,Business,Expense,Rent,Rent Sub,-19212,Entity_305,Rent transaction,EFT,Operations,Cape Town
300218,2026/02/23,Card,Expense,Utilities,Utilities Sub,-15425,Entity_259,Utilities transaction,eft,Sales,cape town
300219,23/01/2026,Card,Income,Software,Software Sub,16522,Entity_967,Software transaction,eft,Sales,Pretoria
300220,2026/01/17,Card,Expense,Marketing,Marketing Sub,-5194,Entity_638,Marketing transaction,EFT,Sales,Johannesburg
300221,2026-02-17,Card,Income,Rent,Rent Sub,9998,Entity_870,Rent transaction,Cash,Sales,Johannesburg
300222,2026-01-13,Card,Income,Sales,Sales Sub,19999,Entity_468,Sales transaction,Cash,Operations,cape town
300223,2026/03/06,Card,Expense,Sales,Sales Sub,-6315,Entity_52,Sales transaction,card,Sales,cape town
300224,22 Mar 2026,Card,Income,Software,Software Sub,11567,Entity_85,Software transaction,EFT,Operations,Johannesburg
300225,31/03/2026,Business,Expense,Utilities,Utilities Sub,-3376,Entity_573,Utilities transaction,card,Operations,Durban
300226,2026-03-01,Business,Expense,Consulting,Consulting Sub,-803,Entity_357,Consulting transaction,Cash,Sales,Cape Town
300227,2026/02/24,Card,Expense,Rent,Rent Sub,-5305,Entity_988,Rent transaction,Card,Admin,Pretoria
300228,18/02/2026,Business,Expense,Rent,Rent Sub,-14046,Entity_456,Rent transaction,EFT,Operations,Johannesburg
300229,2026/03/02,Business,Income,Utilities,Utilities Sub,9497,Entity_843,Utilities transaction,Cash,Operations,cape town
300230,29 Mar 2026,Business,Expense,Marketing,Marketing Sub,-8792,Entity_853,Marketing transaction,card,Operations,Pretoria
300231,22/03/2026,Card,Income,Marketing,Marketing Sub,4989,Entity_904,Marketing transaction,eft,Operations,Johannesburg
300232,22 Feb 2026,Card,Income,Marketing,Marketing Sub,14221,Entity_554,Marketing transaction,Cash,Operations,Pretoria
300233,2026-03-16,Card,Income,Marketing,Marketing Sub,17201,Entity_602,Marketing transaction,card,Sales,Cape Town
300234,13 Feb 2026,Business,Expense,Utilities,Utilities Sub,-8076,Entity_260,Utilities transaction,EFT,Operations,Durban
300235,2026-03-01,Business,Expense,Utilities,Utilities Sub,-2816,Entity_51,Utilities transaction,eft,Admin,Pretoria
300236,2026-03-01,Business,Income,Software,Software Sub,7329,Entity_504,Software transaction,eft,Admin,Durban
300237,2026/02/06,Card,Income,Software,Software Sub,5064,Entity_617,Software transaction,EFT,Operations,Pretoria
