TransactionID,Date,StoreID,City,ProductID,Product,Category,Price,Quantity,Discount,Revenue,PaymentMethod,Cashier,CustomerID,ExpectedRevenue
100028,2026-01-06T00:00:00Z,3,Johannesburg,248,Keyboard,Accessories,45,2,10,81,Cash,Cashier_16,2369,81
100029,2026-01-03T00:00:00Z,7,Cape Town,168,Laptop,Electronics,1200,5,0,6000,Card,Cashier_5,1088,6000
100030,2026-01-20T00:00:00Z,9,Johannesburg,119,Laptop,Electronics,1200,3,5,3420,Card,Cashier_12,4179,3420
100031,2026-03-07T00:00:00Z,3,Cape Town,136,Mouse,Accessories,25,2,5,47.5,Card,Cashier_21,4362,47.5
100032,2026-01-21T00:00:00Z,4,Johannesburg,299,Mouse,Accessories,25,2,5,47.5,Eft,Cashier_28,3249,47.5
100033,2026-02-28T00:00:00Z,7,Johannesburg,143,Keyboard,Accessories,45,5,10,202.5,Card,Cashier_27,4998,202.5
100034,2026-03-17T00:00:00Z,3,Johannesburg,170,Laptop,Electronics,1200,1,5,1140,Eft,Cashier_12,3508,1140
100035,2026-03-09T00:00:00Z,9,Durban,275,Laptop,Electronics,1200,2,10,2160,Card,Cashier_16,2281,2160
100036,2026-02-13T00:00:00Z,4,Cape Town,118,Monitor,Electronics,300,4,0,1200,Cash,Cashier_11,3095,1200
100037,2026-03-12T00:00:00Z,3,Durban,252,Mouse,Accessories,25,3,5,71.25,Card,Cashier_39,4932,71.25
100038,2026-01-28T00:00:00Z,8,Durban,283,Monitor,Electronics,300,2,0,600,Eft,Cashier_33,4463,600
100039,2026-01-12T00:00:00Z,2,Johannesburg,288,Mouse,Accessories,25,5,0,125,Card,Cashier_40,4448,125
100040,2026-02-18T00:00:00Z,7,Cape Town,183,Laptop,Electronics,1200,4,0,4800,Eft,Cashier_32,4929,4800
100041,2026-02-22T00:00:00Z,5,Johannesburg,163,Mouse,Accessories,25,1,10,22.5,Eft,Cashier_1,4931,22.5
100042,2026-01-04T00:00:00Z,5,Cape Town,144,Mouse,Accessories,25,5,10,112.5,Eft,Cashier_13,2119,112.5
100043,2026-02-27T00:00:00Z,9,Johannesburg,225,Keyboard,Accessories,45,5,5,213.75,Card,Cashier_14,3336,213.75
100044,2026-01-04T00:00:00Z,10,Cape Town,239,Monitor,Electronics,300,2,5,570,Card,Cashier_5,3049,570
100045,2026-03-28T00:00:00Z,9,Johannesburg,100,Keyboard,Accessories,45,5,5,213.75,Eft,Cashier_23,2248,213.75
100046,2026-02-18T00:00:00Z,4,Pretoria,100,Monitor,Electronics,300,3,10,810,Eft,Cashier_33,1814,810
100047,2026-02-09T00:00:00Z,8,Pretoria,271,Monitor,Electronics,300,5,10,1350,Cash,Cashier_34,1014,1350
100048,2026-02-13T00:00:00Z,8,Cape Town,263,Monitor,Electronics,300,5,10,1350,Cash,Cashier_2,2667,1350
100049,2026-01-10T00:00:00Z,6,Johannesburg,281,Mouse,Accessories,25,4,5,95,Eft,Cashier_20,1622,95
100050,2026-03-07T00:00:00Z,5,Pretoria,125,Monitor,Electronics,300,3,10,810,Eft,Cashier_5,2454,810
100051,2026-01-21T00:00:00Z,7,Johannesburg,254,Laptop,Electronics,1200,4,0,4800,Eft,Cashier_14,1971,4800
100052,2026-03-08T00:00:00Z,8,Pretoria,242,Keyboard,Accessories,45,3,0,135,Card,Cashier_20,3674,135
100053,2026-02-21T00:00:00Z,8,Johannesburg,256,Keyboard,Accessories,45,3,0,135,Card,Cashier_17,4947,135
100054,2026-02-25T00:00:00Z,5,Cape Town,118,Mouse,Accessories,25,1,10,22.5,Card,Cashier_38,2816,22.5
100055,2026-01-21T00:00:00Z,3,Durban,192,Mouse,Accessories,25,5,5,118.75,Eft,Cashier_16,1474,118.75
100056,2026-02-20T00:00:00Z,8,Cape Town,147,Mouse,Accessories,25,3,0,75,Eft,Cashier_2,4640,75
100057,2026-03-20T00:00:00Z,6,Johannesburg,130,Mouse,Accessories,25,1,10,22.5,Card,Cashier_7,1909,22.5
100058,2026-01-22T00:00:00Z,4,Johannesburg,218,Monitor,Electronics,300,2,10,540,Eft,Cashier_14,2850,540
100059,2026-01-28T00:00:00Z,1,Cape Town,101,Keyboard,Accessories,45,3,10,121.5,Cash,Cashier_25,4473,121.5
100060,2026-03-24T00:00:00Z,1,Cape Town,199,Keyboard,Accessories,45,2,10,81,Eft,Cashier_4,3313,81
100061,2026-03-25T00:00:00Z,1,Cape Town,237,Monitor,Electronics,300,3,0,900,Card,Cashier_3,4823,900
100062,2026-01-04T00:00:00Z,3,Johannesburg,275,Keyboard,Accessories,45,1,10,40.5,Card,Cashier_29,2596,40.5
100063,2026-02-01T00:00:00Z,1,Pretoria,251,Keyboard,Accessories,45,3,5,128.25,Eft,Cashier_39,3859,128.25
100064,2026-03-10T00:00:00Z,2,Johannesburg,290,Laptop,Electronics,1200,3,10,3240,Card,Cashier_17,1727,3240
100065,2026-02-24T00:00:00Z,1,Cape Town,231,Laptop,Electronics,1200,2,0,2400,Cash,Cashier_7,2280,2400
100066,2026-01-17T00:00:00Z,8,Cape Town,288,Laptop,Electronics,1200,2,0,2400,Card,Cashier_17,4278,2400
100067,2026-02-19T00:00:00Z,5,Johannesburg,288,Keyboard,Accessories,45,1,5,42.75,Eft,Cashier_8,4505,42.75
100068,2026-03-06T00:00:00Z,6,Johannesburg,230,Keyboard,Accessories,45,1,10,40.5,Eft,Cashier_31,1428,40.5
100069,2026-02-07T00:00:00Z,4,Johannesburg,199,Mouse,Accessories,25,4,0,100,Card,Cashier_27,2414,100
100070,2026-03-25T00:00:00Z,7,Johannesburg,181,Mouse,Accessories,25,5,0,125,Cash,Cashier_34,3052,125
100071,2026-02-11T00:00:00Z,10,Cape Town,215,Laptop,Electronics,1200,5,0,6000,Eft,Cashier_30,4739,6000
100072,2026-01-08T00:00:00Z,1,Pretoria,225,Keyboard,Accessories,45,4,0,180,Cash,Cashier_16,3879,180
100073,2026-03-01T00:00:00Z,9,Pretoria,142,Keyboard,Accessories,45,3,5,128.25,Cash,Cashier_15,3305,128.25
100074,2026-03-21T00:00:00Z,2,Pretoria,274,Mouse,Accessories,25,1,0,25,Card,Cashier_14,2071,25
100075,2026-01-28T00:00:00Z,9,Durban,105,Laptop,Electronics,1200,5,0,6000,Eft,Cashier_19,1900,6000
100076,2026-01-31T00:00:00Z,8,Johannesburg,239,Mouse,Accessories,25,5,10,112.5,Card,Cashier_31,3972,112.5
100077,2026-03-10T00:00:00Z,9,Durban,119,Laptop,Electronics,1200,3,10,3240,Eft,Cashier_38,3394,3240
100078,2026-02-28T00:00:00Z,4,Johannesburg,278,Monitor,Electronics,300,1,5,285,Card,Cashier_35,1491,285
100079,2026-03-11T00:00:00Z,9,Durban,238,Keyboard,Accessories,45,5,5,213.75,Eft,Cashier_27,3468,213.75
100080,2026-02-26T00:00:00Z,9,Cape Town,164,Keyboard,Accessories,45,4,5,171,Eft,Cashier_37,1148,171
100081,2026-03-26T00:00:00Z,2,Cape Town,101,Keyboard,Accessories,45,4,10,162,Eft,Cashier_18,4260,162
100082,2026-01-15T00:00:00Z,6,Cape Town,206,Keyboard,Accessories,45,4,5,171,Card,Cashier_17,2506,171
100083,2026-02-22T00:00:00Z,9,Johannesburg,289,Mouse,Accessories,25,5,5,118.75,Cash,Cashier_28,2375,118.75
100084,2026-02-21T00:00:00Z,2,Cape Town,133,Monitor,Electronics,300,2,10,540,Card,Cashier_15,3990,540
100085,2026-01-13T00:00:00Z,3,Cape Town,122,Laptop,Electronics,1200,1,5,1140,Card,Cashier_36,1894,1140
100086,2026-01-14T00:00:00Z,2,Johannesburg,275,Monitor,Electronics,300,3,0,900,Eft,Cashier_4,4221,900
100087,2026-02-27T00:00:00Z,9,Durban,200,Mouse,Accessories,25,1,10,22.5,Eft,Cashier_7,1610,22.5
100088,2026-02-02T00:00:00Z,9,Johannesburg,226,Monitor,Electronics,300,5,0,1500,Eft,Cashier_14,4230,1500
100089,2026-03-26T00:00:00Z,5,Cape Town,238,Keyboard,Accessories,45,4,0,180,Cash,Cashier_7,1936,180
100090,2026-01-17T00:00:00Z,4,Durban,243,Keyboard,Accessories,45,3,0,135,Card,Cashier_35,4417,135
100091,2026-03-31T00:00:00Z,5,Durban,154,Mouse,Accessories,25,4,5,95,Eft,Cashier_31,1989,95
100092,2026-03-16T00:00:00Z,9,Cape Town,114,Keyboard,Accessories,45,2,0,90,Eft,Cashier_9,3642,90
100093,2026-01-16T00:00:00Z,3,Johannesburg,157,Mouse,Accessories,25,3,10,67.5,Eft,Cashier_4,3306,67.5
100094,2026-03-06T00:00:00Z,7,Johannesburg,101,Mouse,Accessories,25,1,0,25,Cash,Cashier_40,1902,25
100095,2026-02-13T00:00:00Z,10,Pretoria,197,Laptop,Electronics,1200,2,5,2280,Cash,Cashier_23,1571,2280
100096,2026-01-06T00:00:00Z,2,Cape Town,285,Laptop,Electronics,1200,3,0,3600,Cash,Cashier_21,2019,3600
100097,2026-01-11T00:00:00Z,7,Johannesburg,284,Keyboard,Accessories,45,5,0,225,Card,Cashier_7,3783,225
100098,2026-02-11T00:00:00Z,6,Cape Town,255,Keyboard,Accessories,45,3,0,135,Cash,Cashier_26,1373,135
100099,2026-02-20T00:00:00Z,4,Johannesburg,240,Monitor,Electronics,300,5,10,1350,Eft,Cashier_33,1450,1350
100100,2026-02-05T00:00:00Z,5,Pretoria,169,Mouse,Accessories,25,2,0,50,Cash,Cashier_31,1516,50
100101,2026-03-11T00:00:00Z,9,Pretoria,285,Monitor,Electronics,300,1,5,285,Eft,Cashier_2,3535,285
100102,2026-03-16T00:00:00Z,4,Durban,296,Keyboard,Accessories,45,4,0,180,Cash,Cashier_11,1637,180
100103,2026-03-18T00:00:00Z,5,Johannesburg,270,Monitor,Electronics,300,4,10,1080,Eft,Cashier_1,3200,1080
100104,2026-01-13T00:00:00Z,1,Durban,253,Laptop,Electronics,1200,2,10,2160,Cash,Cashier_24,2672,2160
100105,2026-03-02T00:00:00Z,1,Cape Town,128,Monitor,Electronics,300,5,10,1350,Eft,Cashier_33,4126,1350
100106,2026-03-14T00:00:00Z,8,Cape Town,259,Keyboard,Accessories,45,5,5,213.75,Eft,Cashier_23,4571,213.75
100107,2026-02-10T00:00:00Z,6,Johannesburg,268,Mouse,Accessories,25,1,0,25,Card,Cashier_40,2781,25
100108,2026-02-13T00:00:00Z,4,Pretoria,232,Monitor,Electronics,300,4,5,1140,Cash,Cashier_8,4651,1140
100109,2026-01-16T00:00:00Z,8,Cape Town,198,Mouse,Accessories,25,5,10,112.5,Card,Cashier_26,3935,112.5
100110,2026-02-12T00:00:00Z,8,Durban,194,Mouse,Accessories,25,1,0,25,Card,Cashier_28,2804,25
100111,2026-02-04T00:00:00Z,3,Cape Town,196,Monitor,Electronics,300,5,0,1500,Card,Cashier_5,4855,1500
100112,2026-02-06T00:00:00Z,3,Pretoria,127,Mouse,Accessories,25,4,10,90,Card,Cashier_30,2624,90
100113,2026-03-11T00:00:00Z,7,Cape Town,269,Mouse,Accessories,25,5,10,112.5,Card,Cashier_5,4174,112.5
100114,2026-03-07T00:00:00Z,7,Cape Town,110,Mouse,Accessories,25,2,10,45,Card,Cashier_33,3828,45
100115,2026-01-16T00:00:00Z,7,Cape Town,243,Laptop,Electronics,1200,2,10,2160,Eft,Cashier_3,3123,2160
100116,2026-02-09T00:00:00Z,5,Durban,142,Mouse,Accessories,25,1,0,25,Eft,Cashier_21,4156,25
100117,2026-03-31T00:00:00Z,7,Cape Town,226,Monitor,Electronics,300,5,10,1350,Cash,Cashier_10,2062,1350
100118,2026-02-13T00:00:00Z,5,Johannesburg,164,Keyboard,Accessories,45,2,0,90,Cash,Cashier_37,2915,90
100119,2026-01-29T00:00:00Z,2,Pretoria,237,Laptop,Electronics,1200,2,0,2400,Eft,Cashier_28,3933,2400
100120,2026-02-20T00:00:00Z,2,Cape Town,139,Mouse,Accessories,25,5,0,125,Card,Cashier_2,4057,125
100121,2026-03-17T00:00:00Z,9,Pretoria,118,Monitor,Electronics,300,4,10,1080,Eft,Cashier_9,2170,1080
100122,2026-01-23T00:00:00Z,5,Cape Town,189,Mouse,Accessories,25,4,5,95,Cash,Cashier_6,3106,95
100123,2026-03-21T00:00:00Z,10,Johannesburg,293,Keyboard,Accessories,45,2,10,81,Eft,Cashier_4,1213,81
100124,2026-03-22T00:00:00Z,2,Durban,262,Keyboard,Accessories,45,2,0,90,Card,Cashier_33,3079,90
100125,2026-02-19T00:00:00Z,10,Johannesburg,285,Monitor,Electronics,300,1,0,300,Card,Cashier_13,4126,300
100126,2026-03-23T00:00:00Z,9,Pretoria,159,Monitor,Electronics,300,4,0,1200,Cash,Cashier_27,2632,1200
100127,2026-01-17T00:00:00Z,9,Cape Town,216,Keyboard,Accessories,45,4,0,180,Eft,Cashier_14,2613,180
100128,2026-01-06T00:00:00Z,8,Cape Town,144,Keyboard,Accessories,45,2,0,90,Card,Cashier_33,2576,90
100129,2026-03-17T00:00:00Z,6,Cape Town,217,Keyboard,Accessories,45,2,0,90,Eft,Cashier_12,4650,90
100130,2026-03-06T00:00:00Z,10,Durban,123,Mouse,Accessories,25,3,10,67.5,Eft,Cashier_37,3646,67.5
100131,2026-03-02T00:00:00Z,9,Durban,104,Keyboard,Accessories,45,4,5,171,Eft,Cashier_21,4257,171
100132,2026-03-19T00:00:00Z,7,Durban,233,Mouse,Accessories,25,5,5,118.75,Eft,Cashier_38,1464,118.75
100133,2026-02-12T00:00:00Z,6,Pretoria,108,Laptop,Electronics,1200,5,0,6000,Eft,Cashier_5,2986,6000
100134,2026-03-11T00:00:00Z,3,Johannesburg,192,Laptop,Electronics,1200,5,10,5400,Eft,Cashier_10,3414,5400
100135,2026-02-23T00:00:00Z,6,Johannesburg,255,Laptop,Electronics,1200,4,5,4560,Card,Cashier_16,4358,4560
100136,2026-03-21T00:00:00Z,2,Cape Town,168,Keyboard,Accessories,45,4,5,171,Card,Cashier_19,3256,171
100137,2026-03-03T00:00:00Z,9,Johannesburg,152,Keyboard,Accessories,45,2,0,90,Card,Cashier_36,2292,90
100138,2026-02-16T00:00:00Z,1,Johannesburg,206,Keyboard,Accessories,45,3,0,135,Eft,Cashier_3,3895,135
100139,2026-03-17T00:00:00Z,10,Pretoria,131,Monitor,Electronics,300,2,0,600,Eft,Cashier_13,4200,600
100140,2026-03-20T00:00:00Z,4,Cape Town,103,Laptop,Electronics,1200,3,10,3240,Card,Cashier_11,2037,3240
100141,2026-01-11T00:00:00Z,1,Pretoria,151,Laptop,Electronics,1200,1,0,1200,Cash,Cashier_16,3009,1200
100142,2026-01-10T00:00:00Z,10,Cape Town,148,Keyboard,Accessories,45,3,10,121.5,Cash,Cashier_38,2745,121.5
100143,2026-01-14T00:00:00Z,10,Johannesburg,186,Monitor,Electronics,300,3,0,900,Eft,Cashier_13,3873,900
100144,2026-03-15T00:00:00Z,10,Durban,142,Monitor,Electronics,300,5,10,1350,Eft,Cashier_20,3307,1350
100145,2026-01-02T00:00:00Z,8,Durban,191,Monitor,Electronics,300,5,5,1425,Eft,Cashier_14,3865,1425
100146,2026-02-25T00:00:00Z,2,Johannesburg,300,Monitor,Electronics,300,3,0,900,Cash,Cashier_35,4039,900
100147,2026-02-13T00:00:00Z,10,Cape Town,153,Laptop,Electronics,1200,3,10,3240,Cash,Cashier_8,3750,3240
100148,2026-03-19T00:00:00Z,4,Cape Town,264,Laptop,Electronics,1200,2,5,2280,Card,Cashier_33,4071,2280
100149,2026-03-09T00:00:00Z,2,Cape Town,204,Keyboard,Accessories,45,3,5,128.25,Eft,Cashier_3,3529,128.25
100150,2026-02-18T00:00:00Z,10,Cape Town,284,Mouse,Accessories,25,2,0,50,Cash,Cashier_1,3919,50
100151,2026-01-19T00:00:00Z,6,Durban,241,Keyboard,Accessories,45,4,10,162,Eft,Cashier_32,2300,162
100152,2026-03-26T00:00:00Z,7,Cape Town,179,Laptop,Electronics,1200,5,5,5700,Eft,Cashier_8,3052,5700
100153,2026-01-30T00:00:00Z,2,Pretoria,231,Mouse,Accessories,25,5,5,118.75,Card,Cashier_9,2196,118.75
100154,2026-01-08T00:00:00Z,1,Cape Town,114,Laptop,Electronics,1200,1,0,1200,Eft,Cashier_22,2362,1200
100155,2026-03-02T00:00:00Z,5,Johannesburg,248,Laptop,Electronics,1200,5,0,6000,Cash,Cashier_15,1748,6000
100156,2026-03-13T00:00:00Z,1,Johannesburg,183,Mouse,Accessories,25,4,0,100,Card,Cashier_37,1757,100
100157,2026-02-08T00:00:00Z,1,Johannesburg,285,Laptop,Electronics,1200,2,0,2400,Eft,Cashier_10,1945,2400
100158,2026-01-12T00:00:00Z,4,Cape Town,270,Laptop,Electronics,1200,3,5,3420,Card,Cashier_13,1221,3420
100159,2026-02-02T00:00:00Z,4,Cape Town,285,Laptop,Electronics,1200,1,0,1200,Card,Cashier_21,2433,1200
100160,2026-02-19T00:00:00Z,7,Cape Town,225,Keyboard,Accessories,45,4,10,162,Card,Cashier_39,3658,162
100161,2026-02-25T00:00:00Z,9,Johannesburg,185,Laptop,Electronics,1200,2,0,2400,Cash,Cashier_27,2869,2400
100162,2026-03-02T00:00:00Z,6,Cape Town,177,Keyboard,Accessories,45,3,5,128.25,Eft,Cashier_9,4570,128.25
100163,2026-01-20T00:00:00Z,3,Cape Town,256,Mouse,Accessories,25,2,10,45,Cash,Cashier_21,1702,45
100164,2026-01-20T00:00:00Z,8,Cape Town,139,Keyboard,Accessories,45,4,5,171,Card,Cashier_12,2964,171
100165,2026-02-16T00:00:00Z,9,Johannesburg,187,Laptop,Electronics,1200,1,0,1200,Card,Cashier_25,1133,1200
100166,2026-02-08T00:00:00Z,10,Durban,162,Keyboard,Accessories,45,5,0,225,Card,Cashier_15,4857,225
100167,2026-01-18T00:00:00Z,6,Pretoria,168,Keyboard,Accessories,45,5,0,225,Card,Cashier_5,2275,225
100168,2026-02-15T00:00:00Z,7,Cape Town,170,Monitor,Electronics,300,4,10,1080,Card,Cashier_9,4164,1080
100169,2026-01-24T00:00:00Z,6,Cape Town,256,Mouse,Accessories,25,1,0,25,Card,Cashier_6,2807,25
100170,2026-03-30T00:00:00Z,4,Johannesburg,222,Mouse,Accessories,25,5,5,118.75,Card,Cashier_24,3047,118.75
100171,2026-02-10T00:00:00Z,10,Johannesburg,300,Keyboard,Accessories,45,2,10,81,Eft,Cashier_22,2702,81
100172,2026-03-24T00:00:00Z,1,Cape Town,183,Laptop,Electronics,1200,3,0,3600,Cash,Cashier_17,4560,3600
100173,2026-02-07T00:00:00Z,5,Cape Town,129,Keyboard,Accessories,45,4,10,162,Eft,Cashier_14,2139,162
100174,2026-03-19T00:00:00Z,3,Johannesburg,136,Keyboard,Accessories,45,5,10,202.5,Eft,Cashier_23,3139,202.5
100175,2026-03-03T00:00:00Z,1,Cape Town,120,Mouse,Accessories,25,4,10,90,Card,Cashier_34,3077,90
100176,2026-03-08T00:00:00Z,10,Durban,201,Monitor,Electronics,300,5,10,1350,Eft,Cashier_36,4402,1350
100177,2026-02-17T00:00:00Z,8,Cape Town,276,Monitor,Electronics,300,2,5,570,Eft,Cashier_20,4487,570
100178,2026-01-18T00:00:00Z,1,Johannesburg,245,Laptop,Electronics,1200,4,5,4560,Card,Cashier_37,3008,4560
100179,2026-03-20T00:00:00Z,8,Cape Town,230,Monitor,Electronics,300,1,0,300,Eft,Cashier_30,1505,300
100180,2026-02-12T00:00:00Z,3,Pretoria,235,Keyboard,Accessories,45,3,0,135,Eft,Cashier_28,2917,135
100181,2026-03-20T00:00:00Z,10,Cape Town,172,Monitor,Electronics,300,5,5,1425,Card,Cashier_22,1487,1425
100182,2026-02-26T00:00:00Z,9,Durban,193,Monitor,Electronics,300,4,0,1200,Card,Cashier_6,3957,1200
100183,2026-02-20T00:00:00Z,8,Durban,233,Laptop,Electronics,1200,1,10,1080,Card,Cashier_38,1794,1080
100184,2026-02-14T00:00:00Z,10,Johannesburg,146,Monitor,Electronics,300,4,10,1080,Card,Cashier_36,1248,1080
100185,2026-02-10T00:00:00Z,6,Cape Town,199,Laptop,Electronics,1200,5,0,6000,Eft,Cashier_18,4811,6000
100186,2026-01-22T00:00:00Z,9,Durban,257,Monitor,Electronics,300,4,5,1140,Eft,Cashier_33,1610,1140
100187,2026-03-20T00:00:00Z,4,Cape Town,216,Keyboard,Accessories,45,2,5,85.5,Card,Cashier_7,3863,85.5
100188,2026-02-17T00:00:00Z,5,Durban,103,Laptop,Electronics,1200,4,0,4800,Eft,Cashier_20,4034,4800
100189,2026-02-07T00:00:00Z,2,Durban,146,Keyboard,Accessories,45,5,10,202.5,Eft,Cashier_7,3204,202.5
100190,2026-03-05T00:00:00Z,10,Johannesburg,243,Laptop,Electronics,1200,5,5,5700,Eft,Cashier_21,2984,5700
100191,2026-03-10T00:00:00Z,10,Cape Town,113,Monitor,Electronics,300,5,0,1500,Eft,Cashier_4,2344,1500
100192,2026-03-18T00:00:00Z,4,Johannesburg,157,Monitor,Electronics,300,1,5,285,Eft,Cashier_12,1034,285
100193,2026-03-20T00:00:00Z,7,Cape Town,281,Monitor,Electronics,300,3,0,900,Card,Cashier_28,1016,900
100194,2026-01-15T00:00:00Z,6,Cape Town,196,Keyboard,Accessories,45,1,10,40.5,Eft,Cashier_34,4986,40.5
100195,2026-03-10T00:00:00Z,3,Cape Town,213,Keyboard,Accessories,45,2,0,90,Card,Cashier_28,1548,90
100196,2026-01-03T00:00:00Z,3,Cape Town,160,Keyboard,Accessories,45,5,5,213.75,Eft,Cashier_32,1140,213.75
100197,2026-01-19T00:00:00Z,6,Cape Town,171,Laptop,Electronics,1200,2,10,2160,Cash,Cashier_5,2571,2160
100198,2026-01-31T00:00:00Z,1,Johannesburg,110,Monitor,Electronics,300,1,10,270,Eft,Cashier_13,1294,270
100199,2026-02-27T00:00:00Z,5,Cape Town,210,Laptop,Electronics,1200,1,10,1080,Cash,Cashier_25,2685,1080
100200,2026-01-19T00:00:00Z,4,Cape Town,161,Monitor,Electronics,300,3,0,900,Eft,Cashier_40,2805,900
100201,2026-03-09T00:00:00Z,1,Durban,171,Laptop,Electronics,1200,1,0,1200,Card,Cashier_24,4710,1200
100202,2026-01-17T00:00:00Z,10,Cape Town,189,Monitor,Electronics,300,3,0,900,Card,Cashier_8,2788,900
100203,2026-02-06T00:00:00Z,8,Cape Town,223,Mouse,Accessories,25,1,5,23.75,Eft,Cashier_28,1376,23.75
100204,2026-03-28T00:00:00Z,10,Pretoria,204,Monitor,Electronics,300,5,0,1500,Eft,Cashier_25,2956,1500
100205,2026-03-17T00:00:00Z,2,Cape Town,190,Keyboard,Accessories,45,4,0,180,Card,Cashier_8,3824,180
100206,2026-01-31T00:00:00Z,5,Durban,256,Laptop,Electronics,1200,1,10,1080,Eft,Cashier_36,2221,1080
100207,2026-03-21T00:00:00Z,8,Cape Town,168,Monitor,Electronics,300,1,0,300,Cash,Cashier_31,2808,300
100208,2026-02-26T00:00:00Z,5,Pretoria,251,Laptop,Electronics,1200,3,0,3600,Eft,Cashier_26,4111,3600
100209,2026-03-22T00:00:00Z,5,Cape Town,116,Monitor,Electronics,300,5,10,1350,Eft,Cashier_8,4387,1350
100210,2026-03-11T00:00:00Z,3,Cape Town,228,Keyboard,Accessories,45,3,5,128.25,Eft,Cashier_3,2825,128.25
100211,2026-01-17T00:00:00Z,9,Cape Town,297,Monitor,Electronics,300,5,5,1425,Card,Cashier_30,2160,1425
100212,2026-01-15T00:00:00Z,6,Pretoria,258,Laptop,Electronics,1200,3,0,3600,Eft,Cashier_29,1374,3600
100213,2026-03-28T00:00:00Z,4,Cape Town,114,Monitor,Electronics,300,5,5,1425,Card,Cashier_8,3273,1425
100214,2026-01-30T00:00:00Z,2,Pretoria,190,Keyboard,Accessories,45,2,0,90,Eft,Cashier_28,2092,90
100215,2026-03-18T00:00:00Z,1,Cape Town,210,Mouse,Accessories,25,3,0,75,Cash,Cashier_31,2728,75
100216,2026-03-28T00:00:00Z,7,Durban,190,Monitor,Electronics,300,1,0,300,Eft,Cashier_10,1732,300
