TransactionID,Date,Account,Type,Category,Subcategory,Amount,VendorClient,Description,PaymentMethod,Department,City,Month,Revenue,Expense
300046,2026-03-17,Business,Income,Consulting,Consulting Sub,14412,Entity_555,Consulting Transaction,Eft,Admin,Johannesburg,2026-03,14412,0
300047,2026-01-21,Card,Income,Software,Software Sub,13274,Entity_314,Software Transaction,Cash,Sales,Cape Town,2026-01,13274,0
300048,2026-01-19,Card,Income,Software,Software Sub,14093,Entity_650,Software Transaction,Eft,Operations,Cape Town,2026-01,14093,0
300049,2026-01-17,Card,Income,Travel,Travel Sub,17355,Entity_715,Travel Transaction,Card,Operations,Johannesburg,2026-01,17355,0
300050,2026-03-16,Business,Expense,Consulting,Consulting Sub,-9967,Entity_410,Consulting Transaction,Cash,Admin,Johannesburg,2026-03,0,9967
300051,2026-03-17,Business,Income,Rent,Rent Sub,13844,Entity_212,Rent Transaction,Eft,Operations,Durban,2026-03,13844,0
300052,2026-02-25,Card,Expense,Rent,Rent Sub,-3454,Entity_500,Rent Transaction,Cash,Sales,Durban,2026-02,0,3454
300053,2026-03-28,Business,Income,Rent,Rent Sub,6232,Entity_588,Rent Transaction,Eft,Operations,Pretoria,2026-03,6232,0
300054,2026-03-13,Card,Expense,Software,Software Sub,-4415,Entity_334,Software Transaction,Eft,Admin,Durban,2026-03,0,4415
300055,2026-03-17,Business,Expense,Sales,Sales Sub,-11629,Entity_625,Sales Transaction,Card,Admin,Durban,2026-03,0,11629
300056,2026-03-06,Business,Income,Marketing,Marketing Sub,2430,Entity_526,Marketing Transaction,Cash,Admin,Cape Town,2026-03,2430,0
300057,2026-01-27,Business,Expense,Software,Software Sub,-13609,Entity_509,Software Transaction,Eft,Sales,Cape Town,2026-01,0,13609
300058,2026-01-25,Business,Expense,Travel,Travel Sub,-13987,Entity_326,Travel Transaction,Card,Operations,Cape Town,2026-01,0,13987
300059,2026-02-09,Business,Expense,Utilities,Utilities Sub,-15384,Entity_560,Utilities Transaction,Card,Operations,Cape Town,2026-02,0,15384
300060,2026-02-17,Business,Expense,Utilities,Utilities Sub,-19848,Entity_813,Utilities Transaction,Cash,Sales,Durban,2026-02,0,19848
300061,2026-01-23,Card,Expense,Consulting,Consulting Sub,-19479,Entity_79,Consulting Transaction,Card,Operations,Johannesburg,2026-01,0,19479
300062,2026-02-14,Business,Income,Rent,Rent Sub,17100,Entity_732,Rent Transaction,Eft,Operations,Pretoria,2026-02,17100,0
300063,2026-03-16,Business,Expense,Sales,Sales Sub,-5019,Entity_615,Sales Transaction,Card,Sales,Johannesburg,2026-03,0,5019
300064,2026-01-11,Business,Expense,Consulting,Consulting Sub,-17379,Entity_480,Consulting Transaction,Eft,Sales,Johannesburg,2026-01,0,17379
300065,2026-02-22,Card,Expense,Utilities,Utilities Sub,-7003,Entity_61,Utilities Transaction,Eft,Admin,Cape Town,2026-02,0,7003
300066,2026-03-22,Card,Income,Rent,Rent Sub,8572,Entity_586,Rent Transaction,Eft,Sales,Johannesburg,2026-03,8572,0
300067,2026-02-18,Card,Expense,Sales,Sales Sub,-6931,Entity_18,Sales Transaction,Cash,Operations,Johannesburg,2026-02,0,6931
300068,2026-03-04,Business,Expense,Rent,Rent Sub,-8495,Entity_508,Rent Transaction,Card,Admin,Cape Town,2026-03,0,8495
300069,2026-01-20,Business,Expense,Utilities,Utilities Sub,-652,Entity_23,Utilities Transaction,Card,Admin,Durban,2026-01,0,652
300070,2026-01-21,Card,Income,Utilities,Utilities Sub,3226,Entity_213,Utilities Transaction,Cash,Sales,Cape Town,2026-01,3226,0
300071,2026-02-11,Business,Income,Utilities,Utilities Sub,5181,Entity_792,Utilities Transaction,Card,Sales,Cape Town,2026-02,5181,0
300072,2026-03-06,Business,Income,Travel,Travel Sub,1655,Entity_848,Travel Transaction,Eft,Sales,Cape Town,2026-03,1655,0
300073,2026-01-28,Business,Income,Consulting,Consulting Sub,6442,Entity_873,Consulting Transaction,Eft,Operations,Pretoria,2026-01,6442,0
300074,2026-01-27,Business,Income,Software,Software Sub,19508,Entity_81,Software Transaction,Card,Sales,Cape Town,2026-01,19508,0
300075,2026-02-05,Business,Expense,Utilities,Utilities Sub,-3512,Entity_21,Utilities Transaction,Eft,Sales,Pretoria,2026-02,0,3512
300076,2026-01-15,Card,Income,Software,Software Sub,10341,Entity_677,Software Transaction,Eft,Admin,Durban,2026-01,10341,0
300077,2026-03-27,Card,Income,Rent,Rent Sub,17242,Entity_497,Rent Transaction,Eft,Operations,Cape Town,2026-03,17242,0
300078,2026-01-01,Card,Expense,Consulting,Consulting Sub,-19837,Entity_850,Consulting Transaction,Cash,Operations,Cape Town,2026-01,0,19837
300079,2026-03-01,Card,Expense,Consulting,Consulting Sub,-14937,Entity_73,Consulting Transaction,Card,Admin,Durban,2026-03,0,14937
300080,2026-01-25,Card,Expense,Travel,Travel Sub,-5975,Entity_134,Travel Transaction,Eft,Operations,Cape Town,2026-01,0,5975
300081,2026-01-22,Card,Expense,Rent,Rent Sub,-2707,Entity_388,Rent Transaction,Eft,Sales,Johannesburg,2026-01,0,2707
300082,2026-02-15,Card,Expense,Travel,Travel Sub,-13405,Entity_156,Travel Transaction,Eft,Operations,Cape Town,2026-02,0,13405
300083,2026-02-11,Business,Expense,Utilities,Utilities Sub,-10399,Entity_603,Utilities Transaction,Card,Admin,Cape Town,2026-02,0,10399
300084,2026-02-09,Business,Expense,Software,Software Sub,-5314,Entity_265,Software Transaction,Eft,Admin,Cape Town,2026-02,0,5314
300085,2026-01-03,Card,Income,Sales,Sales Sub,2596,Entity_407,Sales Transaction,Card,Admin,Cape Town,2026-01,2596,0
300086,2026-03-17,Business,Income,Utilities,Utilities Sub,3657,Entity_865,Utilities Transaction,Card,Operations,Cape Town,2026-03,3657,0
300087,2026-01-14,Card,Income,Software,Software Sub,9366,Entity_386,Software Transaction,Eft,Operations,Cape Town,2026-01,9366,0
300088,2026-01-05,Business,Expense,Consulting,Consulting Sub,-10049,Entity_675,Consulting Transaction,Eft,Admin,Cape Town,2026-01,0,10049
300089,2026-03-05,Card,Expense,Marketing,Marketing Sub,-12615,Entity_63,Marketing Transaction,Eft,Admin,Cape Town,2026-03,0,12615
300090,2026-01-17,Card,Income,Travel,Travel Sub,6420,Entity_333,Travel Transaction,Eft,Admin,Cape Town,2026-01,6420,0
300091,2026-02-12,Business,Expense,Rent,Rent Sub,-7133,Entity_170,Rent Transaction,Cash,Admin,Johannesburg,2026-02,0,7133
300092,2026-03-17,Card,Expense,Travel,Travel Sub,-7418,Entity_55,Travel Transaction,Eft,Admin,Durban,2026-03,0,7418
300093,2026-01-03,Business,Expense,Consulting,Consulting Sub,-19113,Entity_311,Consulting Transaction,Cash,Sales,Cape Town,2026-01,0,19113
300094,2026-03-03,Business,Income,Rent,Rent Sub,9280,Entity_513,Rent Transaction,Eft,Operations,Pretoria,2026-03,9280,0
300095,2026-01-28,Business,Income,Travel,Travel Sub,1176,Entity_244,Travel Transaction,Card,Operations,Johannesburg,2026-01,1176,0
300096,2026-03-14,Card,Expense,Utilities,Utilities Sub,-11169,Entity_772,Utilities Transaction,Eft,Admin,Johannesburg,2026-03,0,11169
300097,2026-01-09,Card,Expense,Travel,Travel Sub,-15811,Entity_377,Travel Transaction,Cash,Sales,Johannesburg,2026-01,0,15811
300098,2026-01-14,Business,Expense,Consulting,Consulting Sub,-8771,Entity_233,Consulting Transaction,Cash,Admin,Johannesburg,2026-01,0,8771
300099,2026-01-15,Card,Income,Utilities,Utilities Sub,2833,Entity_940,Utilities Transaction,Eft,Admin,Cape Town,2026-01,2833,0
300100,2026-03-24,Business,Expense,Marketing,Marketing Sub,-498,Entity_887,Marketing Transaction,Cash,Sales,Pretoria,2026-03,0,498
300101,2026-02-18,Card,Income,Marketing,Marketing Sub,3717,Entity_647,Marketing Transaction,Card,Sales,Cape Town,2026-02,3717,0
300102,2026-03-05,Business,Income,Sales,Sales Sub,9319,Entity_555,Sales Transaction,Card,Admin,Johannesburg,2026-03,9319,0
300103,2026-02-05,Business,Income,Sales,Sales Sub,15779,Entity_987,Sales Transaction,Card,Sales,Durban,2026-02,15779,0
300104,2026-03-27,Card,Income,Travel,Travel Sub,5561,Entity_234,Travel Transaction,Card,Admin,Cape Town,2026-03,5561,0
300105,2026-03-08,Card,Expense,Sales,Sales Sub,-4053,Entity_178,Sales Transaction,Eft,Operations,Cape Town,2026-03,0,4053
300106,2026-02-14,Card,Income,Consulting,Consulting Sub,1342,Entity_990,Consulting Transaction,Cash,Sales,Johannesburg,2026-02,1342,0
300107,2026-01-22,Card,Expense,Software,Software Sub,-7112,Entity_121,Software Transaction,Cash,Admin,Cape Town,2026-01,0,7112
300108,2026-01-26,Business,Expense,Rent,Rent Sub,-9949,Entity_248,Rent Transaction,Cash,Admin,Johannesburg,2026-01,0,9949
300109,2026-03-11,Card,Expense,Marketing,Marketing Sub,-2741,Entity_636,Marketing Transaction,Card,Operations,Johannesburg,2026-03,0,2741
300110,2026-02-11,Business,Expense,Consulting,Consulting Sub,-17969,Entity_150,Consulting Transaction,Card,Admin,Durban,2026-02,0,17969
300111,2026-01-17,Card,Expense,Sales,Sales Sub,-3489,Entity_561,Sales Transaction,Card,Admin,Pretoria,2026-01,0,3489
300112,2026-02-22,Business,Income,Software,Software Sub,9226,Entity_652,Software Transaction,Card,Sales,Cape Town,2026-02,9226,0
300113,2026-03-28,Card,Income,Marketing,Marketing Sub,2829,Entity_315,Marketing Transaction,Cash,Admin,Cape Town,2026-03,2829,0
300114,2026-03-28,Business,Expense,Software,Software Sub,-12523,Entity_221,Software Transaction,Card,Admin,Cape Town,2026-03,0,12523
300115,2026-01-08,Business,Income,Software,Software Sub,8686,Entity_353,Software Transaction,Card,Operations,Pretoria,2026-01,8686,0
300116,2026-01-12,Card,Expense,Travel,Travel Sub,-13196,Entity_292,Travel Transaction,Card,Admin,Pretoria,2026-01,0,13196
300117,2026-03-04,Card,Expense,Sales,Sales Sub,-1951,Entity_156,Sales Transaction,Card,Operations,Pretoria,2026-03,0,1951
300118,2026-01-17,Business,Income,Marketing,Marketing Sub,9792,Entity_900,Marketing Transaction,Eft,Operations,Pretoria,2026-01,9792,0
300119,2026-01-09,Card,Income,Travel,Travel Sub,10102,Entity_949,Travel Transaction,Card,Operations,Pretoria,2026-01,10102,0
300120,2026-03-14,Card,Expense,Marketing,Marketing Sub,-19594,Entity_542,Marketing Transaction,Card,Admin,Pretoria,2026-03,0,19594
300121,2026-03-26,Card,Expense,Software,Software Sub,-7170,Entity_41,Software Transaction,Card,Operations,Pretoria,2026-03,0,7170
300122,2026-01-24,Business,Income,Marketing,Marketing Sub,13505,Entity_725,Marketing Transaction,Eft,Sales,Durban,2026-01,13505,0
300123,2026-02-20,Card,Income,Rent,Rent Sub,8927,Entity_389,Rent Transaction,Eft,Admin,Johannesburg,2026-02,8927,0
300124,2026-02-14,Business,Income,Travel,Travel Sub,6255,Entity_713,Travel Transaction,Card,Sales,Durban,2026-02,6255,0
300125,2026-02-06,Business,Income,Sales,Sales Sub,12604,Entity_487,Sales Transaction,Card,Sales,Pretoria,2026-02,12604,0
300126,2026-03-23,Business,Expense,Software,Software Sub,-14315,Entity_813,Software Transaction,Cash,Operations,Cape Town,2026-03,0,14315
300127,2026-01-02,Card,Expense,Rent,Rent Sub,-9063,Entity_255,Rent Transaction,Eft,Admin,Durban,2026-01,0,9063
300128,2026-01-01,Business,Income,Sales,Sales Sub,3030,Entity_716,Sales Transaction,Card,Admin,Cape Town,2026-01,3030,0
300129,2026-02-15,Card,Income,Consulting,Consulting Sub,19831,Entity_185,Consulting Transaction,Card,Sales,Cape Town,2026-02,19831,0
300130,2026-02-18,Business,Income,Travel,Travel Sub,19597,Entity_169,Travel Transaction,Card,Operations,Cape Town,2026-02,19597,0
300131,2026-01-14,Card,Expense,Consulting,Consulting Sub,-14521,Entity_684,Consulting Transaction,Card,Sales,Durban,2026-01,0,14521
300132,2026-01-10,Card,Income,Consulting,Consulting Sub,9940,Entity_994,Consulting Transaction,Card,Operations,Durban,2026-01,9940,0
300133,2026-01-11,Business,Expense,Travel,Travel Sub,-18348,Entity_783,Travel Transaction,Card,Operations,Cape Town,2026-01,0,18348
300134,2026-03-09,Business,Expense,Utilities,Utilities Sub,-16233,Entity_12,Utilities Transaction,Card,Sales,Cape Town,2026-03,0,16233
300135,2026-01-29,Card,Expense,Travel,Travel Sub,-8682,Entity_690,Travel Transaction,Eft,Sales,Durban,2026-01,0,8682
300136,2026-03-12,Business,Income,Marketing,Marketing Sub,6287,Entity_82,Marketing Transaction,Eft,Admin,Durban,2026-03,6287,0
300137,2026-03-28,Card,Income,Sales,Sales Sub,6483,Entity_171,Sales Transaction,Cash,Operations,Cape Town,2026-03,6483,0
300138,2026-01-09,Card,Expense,Consulting,Consulting Sub,-14005,Entity_390,Consulting Transaction,Eft,Sales,Pretoria,2026-01,0,14005
300139,2026-03-31,Card,Expense,Utilities,Utilities Sub,-16494,Entity_964,Utilities Transaction,Card,Operations,Johannesburg,2026-03,0,16494
300140,2026-01-28,Card,Expense,Travel,Travel Sub,-11949,Entity_86,Travel Transaction,Eft,Sales,Cape Town,2026-01,0,11949
300141,2026-03-03,Card,Income,Marketing,Marketing Sub,19038,Entity_904,Marketing Transaction,Eft,Operations,Durban,2026-03,19038,0
300142,2026-02-21,Card,Income,Sales,Sales Sub,18444,Entity_72,Sales Transaction,Card,Operations,Johannesburg,2026-02,18444,0
300143,2026-03-15,Business,Expense,Sales,Sales Sub,-15607,Entity_968,Sales Transaction,Eft,Operations,Durban,2026-03,0,15607
300144,2026-02-26,Card,Income,Software,Software Sub,2282,Entity_48,Software Transaction,Eft,Operations,Cape Town,2026-02,2282,0
300145,2026-01-28,Card,Expense,Rent,Rent Sub,-14143,Entity_505,Rent Transaction,Eft,Operations,Durban,2026-01,0,14143
300146,2026-03-27,Business,Expense,Travel,Travel Sub,-9636,Entity_903,Travel Transaction,Cash,Admin,Cape Town,2026-03,0,9636
300147,2026-02-07,Business,Expense,Utilities,Utilities Sub,-12285,Entity_81,Utilities Transaction,Card,Operations,Cape Town,2026-02,0,12285
300148,2026-02-14,Business,Income,Consulting,Consulting Sub,17906,Entity_107,Consulting Transaction,Card,Operations,Cape Town,2026-02,17906,0
300149,2026-02-17,Business,Income,Utilities,Utilities Sub,10087,Entity_855,Utilities Transaction,Card,Operations,Pretoria,2026-02,10087,0
300150,2026-02-23,Card,Expense,Software,Software Sub,-2233,Entity_596,Software Transaction,Cash,Sales,Cape Town,2026-02,0,2233
300151,2026-03-19,Business,Income,Sales,Sales Sub,10547,Entity_842,Sales Transaction,Cash,Admin,Johannesburg,2026-03,10547,0
300152,2026-02-16,Business,Income,Consulting,Consulting Sub,13873,Entity_160,Consulting Transaction,Cash,Sales,Cape Town,2026-02,13873,0
300153,2026-01-19,Business,Income,Travel,Travel Sub,16745,Entity_561,Travel Transaction,Eft,Admin,Pretoria,2026-01,16745,0
300154,2026-03-29,Card,Expense,Travel,Travel Sub,-18182,Entity_282,Travel Transaction,Card,Sales,Cape Town,2026-03,0,18182
300155,2026-01-30,Card,Expense,Travel,Travel Sub,-12391,Entity_9,Travel Transaction,Eft,Sales,Johannesburg,2026-01,0,12391
300156,2026-01-02,Business,Income,Consulting,Consulting Sub,12873,Entity_350,Consulting Transaction,Eft,Operations,Cape Town,2026-01,12873,0
300157,2026-02-16,Business,Expense,Sales,Sales Sub,-14233,Entity_584,Sales Transaction,Eft,Sales,Cape Town,2026-02,0,14233
300158,2026-03-05,Card,Income,Travel,Travel Sub,1857,Entity_963,Travel Transaction,Eft,Admin,Pretoria,2026-03,1857,0
300159,2026-03-30,Card,Income,Travel,Travel Sub,13628,Entity_109,Travel Transaction,Eft,Operations,Cape Town,2026-03,13628,0
300160,2026-01-07,Card,Expense,Travel,Travel Sub,-6803,Entity_693,Travel Transaction,Cash,Admin,Johannesburg,2026-01,0,6803
300161,2026-03-18,Card,Income,Rent,Rent Sub,354,Entity_612,Rent Transaction,Eft,Operations,Cape Town,2026-03,354,0
300162,2026-03-27,Business,Income,Software,Software Sub,9463,Entity_749,Software Transaction,Card,Operations,Cape Town,2026-03,9463,0
300163,2026-03-15,Card,Expense,Utilities,Utilities Sub,-9833,Entity_486,Utilities Transaction,Card,Sales,Durban,2026-03,0,9833
300164,2026-03-21,Business,Expense,Sales,Sales Sub,-1302,Entity_307,Sales Transaction,Card,Sales,Johannesburg,2026-03,0,1302
300165,2026-01-16,Business,Expense,Sales,Sales Sub,-4749,Entity_409,Sales Transaction,Cash,Admin,Johannesburg,2026-01,0,4749
300166,2026-03-08,Business,Expense,Software,Software Sub,-3026,Entity_787,Software Transaction,Card,Admin,Johannesburg,2026-03,0,3026
300167,2026-02-23,Card,Income,Sales,Sales Sub,5401,Entity_824,Sales Transaction,Card,Operations,Johannesburg,2026-02,5401,0
300168,2026-03-17,Card,Expense,Consulting,Consulting Sub,-6321,Entity_114,Consulting Transaction,Eft,Admin,Cape Town,2026-03,0,6321
300169,2026-01-31,Business,Income,Travel,Travel Sub,926,Entity_54,Travel Transaction,Card,Admin,Johannesburg,2026-01,926,0
300170,2026-03-18,Business,Expense,Software,Software Sub,-6406,Entity_260,Software Transaction,Cash,Sales,Cape Town,2026-03,0,6406
300171,2026-01-09,Business,Expense,Consulting,Consulting Sub,-13082,Entity_603,Consulting Transaction,Card,Admin,Cape Town,2026-01,0,13082
300172,2026-03-23,Card,Expense,Rent,Rent Sub,-13020,Entity_425,Rent Transaction,Eft,Admin,Durban,2026-03,0,13020
300173,2026-03-07,Business,Expense,Consulting,Consulting Sub,-16025,Entity_463,Consulting Transaction,Cash,Operations,Cape Town,2026-03,0,16025
300174,2026-02-03,Business,Expense,Rent,Rent Sub,-3352,Entity_978,Rent Transaction,Cash,Operations,Cape Town,2026-02,0,3352
300175,2026-01-26,Card,Expense,Rent,Rent Sub,-13925,Entity_876,Rent Transaction,Eft,Operations,Cape Town,2026-01,0,13925
300176,2026-02-02,Card,Income,Sales,Sales Sub,8760,Entity_295,Sales Transaction,Cash,Operations,Johannesburg,2026-02,8760,0
300177,2026-01-06,Card,Income,Utilities,Utilities Sub,9242,Entity_541,Utilities Transaction,Card,Sales,Johannesburg,2026-01,9242,0
300178,2026-01-11,Card,Expense,Rent,Rent Sub,-14342,Entity_789,Rent Transaction,Card,Admin,Johannesburg,2026-01,0,14342
300179,2026-02-28,Card,Expense,Marketing,Marketing Sub,-17815,Entity_435,Marketing Transaction,Card,Sales,Cape Town,2026-02,0,17815
300180,2026-02-11,Business,Expense,Utilities,Utilities Sub,-4493,Entity_985,Utilities Transaction,Eft,Operations,Johannesburg,2026-02,0,4493
300181,2026-02-07,Card,Income,Utilities,Utilities Sub,1170,Entity_360,Utilities Transaction,Eft,Operations,Johannesburg,2026-02,1170,0
300182,2026-02-16,Business,Expense,Travel,Travel Sub,-16697,Entity_655,Travel Transaction,Eft,Admin,Cape Town,2026-02,0,16697
300183,2026-03-08,Business,Expense,Software,Software Sub,-8172,Entity_58,Software Transaction,Card,Admin,Cape Town,2026-03,0,8172
300184,2026-03-09,Business,Income,Travel,Travel Sub,11866,Entity_437,Travel Transaction,Eft,Admin,Cape Town,2026-03,11866,0
300185,2026-03-17,Card,Income,Travel,Travel Sub,9741,Entity_311,Travel Transaction,Card,Operations,Durban,2026-03,9741,0
300186,2026-02-11,Business,Income,Travel,Travel Sub,6291,Entity_360,Travel Transaction,Card,Operations,Durban,2026-02,6291,0
300187,2026-02-03,Business,Expense,Utilities,Utilities Sub,-5542,Entity_571,Utilities Transaction,Cash,Operations,Johannesburg,2026-02,0,5542
300188,2026-01-29,Card,Expense,Sales,Sales Sub,-13502,Entity_867,Sales Transaction,Eft,Sales,Johannesburg,2026-01,0,13502
300189,2026-03-18,Business,Expense,Marketing,Marketing Sub,-5419,Entity_925,Marketing Transaction,Cash,Sales,Cape Town,2026-03,0,5419
300190,2026-02-16,Card,Income,Sales,Sales Sub,17693,Entity_369,Sales Transaction,Cash,Operations,Cape Town,2026-02,17693,0
300191,2026-01-10,Business,Expense,Consulting,Consulting Sub,-9691,Entity_875,Consulting Transaction,Cash,Operations,Pretoria,2026-01,0,9691
300192,2026-03-07,Business,Income,Travel,Travel Sub,6744,Entity_448,Travel Transaction,Card,Sales,Johannesburg,2026-03,6744,0
300193,2026-03-26,Business,Income,Consulting,Consulting Sub,14025,Entity_528,Consulting Transaction,Card,Operations,Cape Town,2026-03,14025,0
300194,2026-02-15,Business,Income,Marketing,Marketing Sub,17037,Entity_28,Marketing Transaction,Card,Sales,Pretoria,2026-02,17037,0
300195,2026-01-07,Business,Expense,Consulting,Consulting Sub,-14198,Entity_673,Consulting Transaction,Cash,Operations,Pretoria,2026-01,0,14198
300196,2026-02-13,Business,Income,Rent,Rent Sub,6183,Entity_551,Rent Transaction,Cash,Sales,Pretoria,2026-02,6183,0
300197,2026-03-13,Business,Expense,Sales,Sales Sub,-13129,Entity_792,Sales Transaction,Card,Sales,Johannesburg,2026-03,0,13129
300198,2026-03-07,Card,Income,Marketing,Marketing Sub,6171,Entity_555,Marketing Transaction,Card,Admin,Cape Town,2026-03,6171,0
300199,2026-01-14,Business,Expense,Consulting,Consulting Sub,-6632,Entity_706,Consulting Transaction,Eft,Operations,Pretoria,2026-01,0,6632
